FIPS,COUNTY_NAME,VALUE
16001,ADA,2839
16003,ADAMS,565
16005,BANNOCK,1917
16007,BEAR LAKE,1284
16009,BENEWAH,392
16011,BINGHAM,2568
16013,BLAINE,628
16015,BOISE,262
16017,BONNER,1611
16019,BONNEVILLE,2622
16021,BOUNDARY,350
16023,BUTTE,465
16025,CAMAS,40
16027,CANYON,3690
16029,CARIBOU,947
16031,CASSIA,913
16033,CLARK,256
16035,CLEARWATER,314
16037,CUSTER,1171
16039,ELMORE,823
16041,FRANKLIN,1758
16043,FREMONT,1012
16045,GEM,1648
16047,GOODING,935
16049,IDAHO,1281
16051,JEFFERSON,1522
16053,JEROME,545
16055,KOOTENAI,1634
16057,LATAH,1247
16059,LEMHI,1362
16061,LEWIS,168
16063,LINCOLN,711
16065,MADISON,924
16067,MINIDOKA,735
16069,NEZ PERCE,945
16071,ONEIDA,974
16073,OWYHEE,1682
16075,PAYETTE,1155
16077,POWER,682
16079,SHOSHONE,107
16081,TETON,1002
16083,TWIN FALLS,1660
16085,VALLEY,240
16087,WASHINGTON,883
