FIPS,COUNTY_NAME,VALUE
16001,ADA,139
16003,ADAMS,41
16005,BANNOCK,65
16007,BEAR LAKE,22
16009,BENEWAH,84
16011,BINGHAM,52
16013,BLAINE,65
16015,BOISE,21
16017,BONNER,201
16019,BONNEVILLE,145
16021,BOUNDARY,14
16023,BUTTE,24
16025,CAMAS,11
16027,CANYON,496
16029,CARIBOU,28
16031,CASSIA,30
16033,CLARK,18
16035,CLEARWATER,46
16037,CUSTER,35
16039,ELMORE,27
16041,FRANKLIN,59
16043,FREMONT,21
16045,GEM,131
16047,GOODING,42
16049,IDAHO,299
16051,JEFFERSON,94
16053,JEROME,31
16055,KOOTENAI,147
16057,LATAH,80
16059,LEMHI,105
16061,LEWIS,24
16063,LINCOLN,38
16069,NEZ PERCE,62
16071,ONEIDA,48
16075,PAYETTE,128
16077,POWER,16
16081,TETON,26
16083,TWIN FALLS,147
16085,VALLEY,11
16087,WASHINGTON,51
