FIPS,COUNTY_NAME,VALUE
16001,ADA,1357
16003,ADAMS,275
16005,BANNOCK,1550
16007,BEAR LAKE,6175
16009,BENEWAH,258
16011,BINGHAM,14083
16017,BONNER,1414
16019,BONNEVILLE,1794
16021,BOUNDARY,1926
16023,BUTTE,848
16027,CANYON,12716
16029,CARIBOU,2186
16031,CASSIA,8075
16035,CLEARWATER,103
16037,CUSTER,741
16039,ELMORE,535
16041,FRANKLIN,664
16045,GEM,5771
16047,GOODING,14954
16049,IDAHO,611
16053,JEROME,3903
16055,KOOTENAI,1221
16057,LATAH,1185
16059,LEMHI,423
16063,LINCOLN,1175
16065,MADISON,232
16067,MINIDOKA,103660
16069,NEZ PERCE,786
16071,ONEIDA,305
16073,OWYHEE,4913
16075,PAYETTE,893
16079,SHOSHONE,12
16081,TETON,6
16083,TWIN FALLS,8473
16085,VALLEY,57
16087,WASHINGTON,7452
