FIPS,COUNTY_NAME,VALUE
17001,ADAMS,18857
17003,ALEXANDER,350
17005,BOND,5342
17007,BOONE,3475
17009,BROWN,2742
17011,BUREAU,6683
17013,CALHOUN,1923
17015,CARROLL,23470
17017,CASS,2572
17019,CHAMPAIGN,4927
17021,CHRISTIAN,1842
17023,CLARK,1809
17025,CLAY,3877
17027,CLINTON,25389
17029,COLES,1814
17033,CRAWFORD,859
17035,CUMBERLAND,6088
17037,DE KALB,16043
17039,DE WITT,1584
17041,DOUGLAS,4066
17045,EDGAR,1719
17047,EDWARDS,981
17049,EFFINGHAM,17976
17051,FAYETTE,8862
17053,FORD,2319
17055,FRANKLIN,4756
17057,FULTON,14002
17059,GALLATIN,720
17061,GREENE,8015
17063,GRUNDY,765
17065,HAMILTON,780
17067,HANCOCK,14421
17069,HARDIN,1480
17071,HENDERSON,7104
17073,HENRY,13349
17075,IROQUOIS,12521
17077,JACKSON,5632
17079,JASPER,6797
17081,JEFFERSON,6158
17083,JERSEY,3340
17085,JO DAVIESS,31958
17087,JOHNSON,3009
17089,KANE,2981
17091,KANKAKEE,1514
17093,KENDALL,2710
17095,KNOX,11592
17097,LAKE,873
17099,LA SALLE,6352
17101,LAWRENCE,1490
17103,LEE,8464
17105,LIVINGSTON,6343
17107,LOGAN,1639
17109,MCDONOUGH,7548
17111,MCHENRY,13120
17113,MCLEAN,9303
17115,MACON,1794
17117,MACOUPIN,10214
17119,MADISON,7746
17121,MARION,5569
17123,MARSHALL,2941
17125,MASON,1247
17127,MASSAC,5315
17129,MENARD,2636
17131,MERCER,3708
17133,MONROE,4018
17135,MONTGOMERY,4966
17137,MORGAN,5026
17139,MOULTRIE,4826
17141,OGLE,18533
17143,PEORIA,3202
17145,PERRY,3902
17147,PIATT,708
17149,PIKE,8760
17151,POPE,2847
17153,PULASKI,1640
17155,PUTNAM,127
17157,RANDOLPH,6626
17159,RICHLAND,4977
17161,ROCK ISLAND,3916
17163,ST CLAIR,5528
17165,SALINE,2827
17167,SANGAMON,6555
17169,SCHUYLER,2979
17171,SCOTT,2992
17173,SHELBY,14705
17175,STARK,1503
17177,STEPHENSON,25263
17179,TAZEWELL,4343
17181,UNION,4137
17183,VERMILION,4857
17185,WABASH,695
17187,WARREN,14081
17189,WASHINGTON,13594
17191,WAYNE,6386
17193,WHITE,1610
17195,WHITESIDE,22440
17197,WILL,1665
17199,WILLIAMSON,4357
17201,WINNEBAGO,7903
17203,WOODFORD,4963
