FIPS,COUNTY_NAME,VALUE
17001,ADAMS,991
17003,ALEXANDER,313
17005,BOND,2106
17007,BOONE,1901
17009,BROWN,111
17011,BUREAU,21225
17013,CALHOUN,508
17015,CARROLL,649
17017,CASS,271
17019,CHAMPAIGN,7381
17021,CHRISTIAN,497
17023,CLARK,394
17025,CLAY,475
17029,COLES,469
17031,COOK,1180
17033,CRAWFORD,388
17035,CUMBERLAND,606
17037,DE KALB,1428
17039,DE WITT,1247
17041,DOUGLAS,2503
17043,DU PAGE,210
17045,EDGAR,1080
17047,EDWARDS,298
17049,EFFINGHAM,1551
17051,FAYETTE,1102
17053,FORD,1863
17055,FRANKLIN,274
17057,FULTON,2451
17061,GREENE,530
17063,GRUNDY,774
17065,HAMILTON,976
17067,HANCOCK,555
17069,HARDIN,150
17071,HENDERSON,681
17073,HENRY,1668
17077,JACKSON,54862
17079,JASPER,773
17081,JEFFERSON,1021
17083,JERSEY,1815
17085,JO DAVIESS,1099
17087,JOHNSON,1168
17089,KANE,3412
17093,KENDALL,966
17095,KNOX,684
17097,LAKE,2358
17099,LA SALLE,1663
17101,LAWRENCE,467
17103,LEE,65887
17105,LIVINGSTON,2435
17107,LOGAN,264
17109,MCDONOUGH,1336
17111,MCHENRY,4928
17113,MCLEAN,3281
17115,MACON,278
17117,MACOUPIN,2185
17119,MADISON,1733
17123,MARSHALL,2058
17125,MASON,421
17127,MASSAC,409
17129,MENARD,412
17131,MERCER,1158
17133,MONROE,1132
17135,MONTGOMERY,991
17137,MORGAN,774
17139,MOULTRIE,3499
17141,OGLE,2168
17143,PEORIA,2263
17145,PERRY,566
17147,PIATT,1679
17149,PIKE,795
17151,POPE,4152
17153,PULASKI,248
17155,PUTNAM,216
17157,RANDOLPH,2717
17159,RICHLAND,521
17161,ROCK ISLAND,1330
17163,ST CLAIR,2637
17165,SALINE,82269
17167,SANGAMON,3894
17169,SCHUYLER,252
17171,SCOTT,248
17173,SHELBY,1231
17175,STARK,216
17179,TAZEWELL,2324
17181,UNION,829
17183,VERMILION,1276
17185,WABASH,363
17187,WARREN,1365
17189,WASHINGTON,264
17193,WHITE,525
17195,WHITESIDE,108388
17197,WILL,2196
17201,WINNEBAGO,2339
