FIPS,COUNTY_NAME,VALUE
17005,BOND,66
17011,BUREAU,7
17017,CASS,18
17023,CLARK,12
17025,CLAY,20
17029,COLES,15
17031,COOK,3
17033,CRAWFORD,5
17035,CUMBERLAND,3
17037,DE KALB,39
17039,DE WITT,6
17041,DOUGLAS,6
17049,EFFINGHAM,14
17051,FAYETTE,13
17053,FORD,16
17057,FULTON,18
17061,GREENE,5
17063,GRUNDY,8
17075,IROQUOIS,16
17077,JACKSON,4
17079,JASPER,10
17081,JEFFERSON,11
17083,JERSEY,35
17089,KANE,22
17091,KANKAKEE,5
17097,LAKE,21
17099,LA SALLE,22
17101,LAWRENCE,3
17103,LEE,91
17105,LIVINGSTON,22
17109,MCDONOUGH,17
17111,MCHENRY,87
17117,MACOUPIN,14
17119,MADISON,54
17121,MARION,19
17123,MARSHALL,36
17127,MASSAC,6
17131,MERCER,3
17133,MONROE,52
17135,MONTGOMERY,5
17139,MOULTRIE,6
17141,OGLE,21
17143,PEORIA,29
17145,PERRY,4
17151,POPE,34
17157,RANDOLPH,46
17159,RICHLAND,17
17161,ROCK ISLAND,31
17163,ST CLAIR,45
17165,SALINE,8922
17173,SHELBY,18
17177,STEPHENSON,28
17179,TAZEWELL,16
17181,UNION,36
17183,VERMILION,120
17187,WARREN,42
17197,WILL,66
17201,WINNEBAGO,81
