FIPS,COUNTY_NAME,VALUE
17001,ADAMS,130
17005,BOND,47
17011,BUREAU,104
17031,COOK,16
17037,DE KALB,48
17049,EFFINGHAM,11
17057,FULTON,16
17073,HENRY,8
17081,JEFFERSON,6
17085,JO DAVIESS,12
17087,JOHNSON,44
17093,KENDALL,35
17095,KNOX,22
17099,LA SALLE,48
17103,LEE,28
17109,MCDONOUGH,24
17111,MCHENRY,37
17121,MARION,60
17123,MARSHALL,19
17143,PEORIA,48
17157,RANDOLPH,68
17159,RICHLAND,19
17163,ST CLAIR,18
17167,SANGAMON,82
17173,SHELBY,10
17177,STEPHENSON,62
17187,WARREN,60
17195,WHITESIDE,64
17197,WILL,73
17201,WINNEBAGO,12
17203,WOODFORD,15
