FIPS,COUNTY_NAME,VALUE
17005,BOND,53
17007,BOONE,692
17019,CHAMPAIGN,246
17029,COLES,78
17031,COOK,24
17035,CUMBERLAND,8
17037,DE KALB,36
17039,DE WITT,14
17041,DOUGLAS,416
17045,EDGAR,282
17049,EFFINGHAM,63
17051,FAYETTE,44
17057,FULTON,71
17069,HARDIN,5
17073,HENRY,199
17075,IROQUOIS,127
17077,JACKSON,95
17085,JO DAVIESS,29
17091,KANKAKEE,37
17097,LAKE,135
17099,LA SALLE,63
17103,LEE,100
17105,LIVINGSTON,76
17111,MCHENRY,1948
17113,MCLEAN,12
17119,MADISON,293
17131,MERCER,78
17135,MONTGOMERY,121
17145,PERRY,295
17147,PIATT,59
17149,PIKE,172
17151,POPE,28
17153,PULASKI,36
17157,RANDOLPH,165
17159,RICHLAND,780
17161,ROCK ISLAND,695
17163,ST CLAIR,89
17165,SALINE,28
17175,STARK,65
17179,TAZEWELL,21
17183,VERMILION,70
17187,WARREN,154
17189,WASHINGTON,32
17191,WAYNE,318
17195,WHITESIDE,35
17197,WILL,96
17199,WILLIAMSON,131
17201,WINNEBAGO,52
17203,WOODFORD,22
