FIPS,COUNTY_NAME,VALUE
17001,ADAMS,264
17005,BOND,73
17007,BOONE,75
17011,BUREAU,117
17015,CARROLL,67
17017,CASS,18
17019,CHAMPAIGN,429
17021,CHRISTIAN,98
17023,CLARK,102
17025,CLAY,3
17027,CLINTON,216
17029,COLES,139
17031,COOK,1337
17033,CRAWFORD,69
17035,CUMBERLAND,350
17037,DE KALB,141
17039,DE WITT,20
17041,DOUGLAS,48
17043,DU PAGE,296
17045,EDGAR,97
17047,EDWARDS,31
17049,EFFINGHAM,73
17051,FAYETTE,215
17053,FORD,27
17055,FRANKLIN,77
17057,FULTON,143
17061,GREENE,62
17063,GRUNDY,36
17065,HAMILTON,81
17067,HANCOCK,44
17069,HARDIN,34
17071,HENDERSON,11
17073,HENRY,71
17075,IROQUOIS,117
17077,JACKSON,487
17079,JASPER,97
17081,JEFFERSON,262
17083,JERSEY,72
17085,JO DAVIESS,158
17087,JOHNSON,37
17089,KANE,629
17091,KANKAKEE,152
17093,KENDALL,234
17095,KNOX,91
17097,LAKE,878
17099,LA SALLE,116
17101,LAWRENCE,112
17103,LEE,99
17105,LIVINGSTON,17
17107,LOGAN,51
17109,MCDONOUGH,159
17111,MCHENRY,459
17113,MCLEAN,85
17115,MACON,35
17117,MACOUPIN,239
17119,MADISON,222
17121,MARION,182
17127,MASSAC,49
17129,MENARD,60
17131,MERCER,127
17133,MONROE,336
17135,MONTGOMERY,106
17137,MORGAN,55
17139,MOULTRIE,87
17141,OGLE,169
17143,PEORIA,129
17145,PERRY,247
17147,PIATT,18
17149,PIKE,64
17151,POPE,14
17153,PULASKI,19
17155,PUTNAM,7
17157,RANDOLPH,109
17159,RICHLAND,68
17161,ROCK ISLAND,245
17163,ST CLAIR,363
17167,SANGAMON,326
17169,SCHUYLER,30
17173,SHELBY,63
17175,STARK,46
17177,STEPHENSON,76
17179,TAZEWELL,45
17181,UNION,48
17183,VERMILION,133
17185,WABASH,26
17187,WARREN,151
17189,WASHINGTON,60
17191,WAYNE,582
17195,WHITESIDE,229
17197,WILL,512
17199,WILLIAMSON,200
17201,WINNEBAGO,198
17203,WOODFORD,138
