FIPS,COUNTY_NAME,VALUE
17007,BOONE,23
17011,BUREAU,47
17019,CHAMPAIGN,48
17029,COLES,29
17031,COOK,69
17041,DOUGLAS,105
17043,DU PAGE,8
17049,EFFINGHAM,58
17055,FRANKLIN,75000
17057,FULTON,15
17063,GRUNDY,10
17067,HANCOCK,7
17073,HENRY,8
17075,IROQUOIS,32
17077,JACKSON,54
17079,JASPER,13
17083,JERSEY,29
17087,JOHNSON,7
17089,KANE,77
17091,KANKAKEE,44
17097,LAKE,181
17099,LA SALLE,40
17101,LAWRENCE,223560
17103,LEE,551
17105,LIVINGSTON,9686
17109,MCDONOUGH,32
17111,MCHENRY,392
17113,MCLEAN,20
17119,MADISON,118
17121,MARION,22
17123,MARSHALL,59
17141,OGLE,22
17145,PERRY,31
17151,POPE,19
17159,RICHLAND,160624
17161,ROCK ISLAND,26
17163,ST CLAIR,26
17165,SALINE,14
17167,SANGAMON,152
17173,SHELBY,14
17177,STEPHENSON,41
17187,WARREN,6
17191,WAYNE,217584
17195,WHITESIDE,46
17197,WILL,76
17201,WINNEBAGO,126
