FIPS,COUNTY_NAME,VALUE
18001,ADAMS,1956
18003,ALLEN,1253
18009,BLACKFORD,311
18011,BOONE,1373
18013,BROWN,445
18015,CARROLL,1072
18021,CLAY,1819
18025,CRAWFORD,3238
18027,DAVIESS,3973
18029,DEARBORN,2732
18033,DE KALB,1061
18035,DELAWARE,779
18037,DUBOIS,8849
18039,ELKHART,2740
18043,FLOYD,1021
18045,FOUNTAIN,2453
18047,FRANKLIN,4992
18049,FULTON,1851
18051,GIBSON,1707
18055,GREENE,6199
18057,HAMILTON,496
18059,HANCOCK,920
18061,HARRISON,8659
18063,HENDRICKS,1417
18065,HENRY,2461
18067,HOWARD,378
18069,HUNTINGTON,875
18071,JACKSON,3576
18073,JASPER,1804
18075,JAY,977
18077,JEFFERSON,4211
18079,JENNINGS,3327
18083,KNOX,1721
18085,KOSCIUSKO,2701
18087,LAGRANGE,3162
18089,LAKE,580
18091,LA PORTE,2064
18093,LAWRENCE,8169
18095,MADISON,1175
18099,MARSHALL,2934
18101,MARTIN,2029
18103,MIAMI,1719
18105,MONROE,3340
18109,MORGAN,2315
18113,NOBLE,2209
18117,ORANGE,3515
18119,OWEN,3967
18121,PARKE,2205
18123,PERRY,3560
18127,PORTER,1052
18129,POSEY,843
18131,PULASKI,1216
18135,RANDOLPH,2117
18137,RIPLEY,4759
18139,RUSH,2708
18141,ST. JOSEPH,1022
18143,SCOTT,1776
18145,SHELBY,1115
18147,SPENCER,5383
18151,STEUBEN,980
18153,SULLIVAN,2128
18155,SWITZERLAND,2744
18161,UNION,917
18167,VIGO,861
18169,WABASH,648
18175,WASHINGTON,10815
18177,WAYNE,4711
18179,WELLS,596
18181,WHITE,1986
18183,WHITLEY,1119
