FIPS,COUNTY_NAME,VALUE
18001,ADAMS,8474
18003,ALLEN,3078
18005,BARTHOLOMEW,1989
18007,BENTON,6012
18009,BLACKFORD,311
18011,BOONE,1999
18013,BROWN,445
18015,CARROLL,1343
18017,CASS,6623
18019,CLARK,3609
18021,CLAY,2269
18023,CLINTON,798
18025,CRAWFORD,3331
18027,DAVIESS,5008
18029,DEARBORN,3190
18031,DECATUR,5281
18033,DE KALB,2869
18035,DELAWARE,971
18037,DUBOIS,11416
18039,ELKHART,24188
18041,FAYETTE,2031
18043,FLOYD,1045
18045,FOUNTAIN,2507
18047,FRANKLIN,6188
18049,FULTON,6119
18051,GIBSON,4173
18053,GRANT,1383
18055,GREENE,6460
18057,HAMILTON,534
18059,HANCOCK,966
18061,HARRISON,8970
18063,HENDRICKS,1432
18065,HENRY,7370
18067,HOWARD,751
18069,HUNTINGTON,6756
18071,JACKSON,5173
18073,JASPER,29589
18075,JAY,3941
18077,JEFFERSON,4684
18079,JENNINGS,3330
18081,JOHNSON,2367
18083,KNOX,1826
18085,KOSCIUSKO,6981
18087,LAGRANGE,13979
18089,LAKE,1540
18091,LA PORTE,6073
18093,LAWRENCE,8189
18095,MADISON,2207
18097,MARION,140
18099,MARSHALL,11309
18101,MARTIN,2041
18103,MIAMI,3617
18105,MONROE,3418
18107,MONTGOMERY,2101
18109,MORGAN,2690
18113,NOBLE,6744
18115,OHIO,1487
18117,ORANGE,3794
18119,OWEN,4397
18121,PARKE,4113
18123,PERRY,4518
18125,PIKE,1527
18127,PORTER,2090
18129,POSEY,1827
18131,PULASKI,2907
18133,PUTNAM,4313
18135,RANDOLPH,3538
18137,RIPLEY,5205
18139,RUSH,3646
18141,ST. JOSEPH,2480
18143,SCOTT,1776
18145,SHELBY,3604
18147,SPENCER,6057
18149,STARKE,656
18151,STEUBEN,3765
18153,SULLIVAN,2128
18155,SWITZERLAND,3092
18157,TIPPECANOE,2506
18161,UNION,917
18163,VANDERBURGH,337
18165,VERMILLION,1893
18167,VIGO,877
18169,WABASH,3372
18171,WARREN,6072
18173,WARRICK,1655
18175,WASHINGTON,11372
18177,WAYNE,7955
18179,WELLS,2419
18181,WHITE,2192
18183,WHITLEY,2584
