FIPS,COUNTY_NAME,VALUE
18001,ADAMS,28913
18003,ALLEN,13513
18005,BARTHOLOMEW,4437
18007,BENTON,7382
18009,BLACKFORD,1742
18011,BOONE,3615
18013,BROWN,765
18015,CARROLL,5192
18017,CASS,10552
18019,CLARK,6763
18021,CLAY,4275
18023,CLINTON,2785
18025,CRAWFORD,5126
18027,DAVIESS,11253
18029,DEARBORN,5960
18031,DECATUR,11055
18033,DE KALB,19530
18035,DELAWARE,2419
18037,DUBOIS,22975
18039,ELKHART,59125
18041,FAYETTE,3807
18043,FLOYD,1831
18045,FOUNTAIN,4387
18047,FRANKLIN,12184
18049,FULTON,15199
18051,GIBSON,7081
18053,GRANT,3562
18055,GREENE,11139
18057,HAMILTON,1147
18059,HANCOCK,2019
18061,HARRISON,16152
18063,HENDRICKS,2770
18065,HENRY,14515
18067,HOWARD,1695
18069,HUNTINGTON,11419
18071,JACKSON,11914
18073,JASPER,37748
18075,JAY,13839
18077,JEFFERSON,8499
18079,JENNINGS,6563
18081,JOHNSON,5243
18083,KNOX,3332
18085,KOSCIUSKO,18773
18087,LAGRANGE,58828
18089,LAKE,2802
18091,LA PORTE,12962
18093,LAWRENCE,13597
18095,MADISON,3905
18099,MARSHALL,20681
18101,MARTIN,4075
18103,MIAMI,7368
18105,MONROE,7119
18107,MONTGOMERY,4451
18109,MORGAN,5397
18113,NOBLE,15921
18115,OHIO,2292
18117,ORANGE,7208
18119,OWEN,7300
18121,PARKE,9079
18123,PERRY,8231
18125,PIKE,2344
18127,PORTER,4222
18129,POSEY,3429
18131,PULASKI,5600
18133,PUTNAM,7309
18135,RANDOLPH,7719
18137,RIPLEY,9956
18139,RUSH,8159
18141,ST. JOSEPH,4873
18143,SCOTT,2600
18145,SHELBY,5801
18147,SPENCER,11301
18149,STARKE,1613
18151,STEUBEN,11580
18153,SULLIVAN,3210
18155,SWITZERLAND,5185
18157,TIPPECANOE,4830
18159,TIPTON,581
18161,UNION,2022
18163,VANDERBURGH,590
18165,VERMILLION,4303
18167,VIGO,1431
18169,WABASH,7729
18171,WARREN,8958
18173,WARRICK,3507
18175,WASHINGTON,18737
18177,WAYNE,14809
18179,WELLS,6224
18181,WHITE,8036
18183,WHITLEY,11507
