FIPS,COUNTY_NAME,VALUE
18001,ADAMS,19308
18003,ALLEN,70355
18005,BARTHOLOMEW,105
18007,BENTON,470
18011,BOONE,1400
18015,CARROLL,229
18017,CASS,204
18025,CRAWFORD,185
18027,DAVIESS,949
18029,DEARBORN,196
18031,DECATUR,1072
18033,DE KALB,234
18035,DELAWARE,285
18039,ELKHART,1187161
18041,FAYETTE,460
18047,FRANKLIN,741
18049,FULTON,205
18053,GRANT,50
18055,GREENE,4900
18059,HANCOCK,190
18063,HENDRICKS,284
18065,HENRY,106
18067,HOWARD,302
18069,HUNTINGTON,338
18071,JACKSON,2118
18073,JASPER,380
18075,JAY,604
18077,JEFFERSON,67
18079,JENNINGS,3250
18081,JOHNSON,96
18083,KNOX,300
18085,KOSCIUSKO,478694
18087,LAGRANGE,1232615
18091,LA PORTE,100
18093,LAWRENCE,382
18095,MADISON,149
18097,MARION,1585
18099,MARSHALL,177823
18103,MIAMI,16
18105,MONROE,186
18109,MORGAN,155
18111,NEWTON,219
18113,NOBLE,177508
18115,OHIO,9
18117,ORANGE,296636
18119,OWEN,221
18121,PARKE,382
18123,PERRY,46
18127,PORTER,254
18129,POSEY,152
18131,PULASKI,274
18133,PUTNAM,1190
18137,RIPLEY,3878
18139,RUSH,9
18141,ST. JOSEPH,169
18143,SCOTT,600
18145,SHELBY,175
18147,SPENCER,110
18153,SULLIVAN,19550
18155,SWITZERLAND,42
18157,TIPPECANOE,222
18165,VERMILLION,186
18167,VIGO,210
18171,WARREN,150
18173,WARRICK,53
18175,WASHINGTON,2658737
18177,WAYNE,1890
18183,WHITLEY,420
