FIPS,COUNTY_NAME,VALUE
18005,BARTHOLOMEW,18
18007,BENTON,68
18011,BOONE,87
18013,BROWN,42
18015,CARROLL,19
18017,CASS,17
18019,CLARK,98
18021,CLAY,6
18023,CLINTON,16
18025,CRAWFORD,5
18027,DAVIESS,44
18029,DEARBORN,10
18033,DE KALB,63
18035,DELAWARE,22
18041,FAYETTE,8
18047,FRANKLIN,38
18051,GIBSON,12
18053,GRANT,34
18055,GREENE,36
18057,HAMILTON,32
18059,HANCOCK,39
18061,HARRISON,44
18063,HENDRICKS,38
18065,HENRY,38
18069,HUNTINGTON,58979
18075,JAY,90
18077,JEFFERSON,4
18079,JENNINGS,13
18081,JOHNSON,3
18085,KOSCIUSKO,12
18087,LAGRANGE,30
18089,LAKE,56
18093,LAWRENCE,34
18095,MADISON,33
18097,MARION,12
18105,MONROE,45
18107,MONTGOMERY,156
18109,MORGAN,20
18113,NOBLE,72
18119,OWEN,74
18121,PARKE,7
18123,PERRY,19
18127,PORTER,9
18133,PUTNAM,107
18143,SCOTT,11
18145,SHELBY,11
18147,SPENCER,52
18149,STARKE,6
18153,SULLIVAN,104
18155,SWITZERLAND,4
18157,TIPPECANOE,38
18159,TIPTON,32
18165,VERMILLION,7
18169,WABASH,13
18171,WARREN,20
18175,WASHINGTON,8448
18177,WAYNE,13
18179,WELLS,47
18183,WHITLEY,21
