FIPS,COUNTY_NAME,VALUE
18001,ADAMS,116886
18003,ALLEN,223
18005,BARTHOLOMEW,42
18007,BENTON,109
18015,CARROLL,98
18017,CASS,264
18019,CLARK,76
18021,CLAY,75
18023,CLINTON,34
18025,CRAWFORD,23
18027,DAVIESS,19
18029,DEARBORN,115
18033,DE KALB,42
18035,DELAWARE,45
18039,ELKHART,811013
18045,FOUNTAIN,17
18047,FRANKLIN,530
18049,FULTON,12
18055,GREENE,43
18057,HAMILTON,356
18059,HANCOCK,19
18061,HARRISON,167
18063,HENDRICKS,605
18065,HENRY,30
18071,JACKSON,26
18073,JASPER,42
18075,JAY,231536
18077,JEFFERSON,24
18079,JENNINGS,141
18081,JOHNSON,22
18085,KOSCIUSKO,278534
18087,LAGRANGE,386652
18089,LAKE,519
18091,LA PORTE,110
18093,LAWRENCE,97
18095,MADISON,72
18097,MARION,102
18099,MARSHALL,33640
18103,MIAMI,21
18105,MONROE,34
18107,MONTGOMERY,8
18109,MORGAN,18
18111,NEWTON,27
18113,NOBLE,137614
18117,ORANGE,24
18119,OWEN,44
18121,PARKE,180
18123,PERRY,88
18127,PORTER,36
18129,POSEY,50
18133,PUTNAM,647
18135,RANDOLPH,14
18137,RIPLEY,84
18139,RUSH,17
18141,ST. JOSEPH,81
18147,SPENCER,24
18151,STEUBEN,80
18155,SWITZERLAND,115
18157,TIPPECANOE,409
18163,VANDERBURGH,45
18165,VERMILLION,17
18167,VIGO,110
18169,WABASH,45
18171,WARREN,93
18175,WASHINGTON,49
18179,WELLS,80
18181,WHITE,6
