FIPS,COUNTY_NAME,VALUE
18001,ADAMS,398
18003,ALLEN,1183
18005,BARTHOLOMEW,488
18007,BENTON,296
18009,BLACKFORD,464
18011,BOONE,1214
18013,BROWN,526
18015,CARROLL,603
18017,CASS,451
18019,CLARK,700
18021,CLAY,167
18023,CLINTON,309
18025,CRAWFORD,186
18027,DAVIESS,850
18029,DEARBORN,1215
18031,DECATUR,280
18033,DE KALB,404
18035,DELAWARE,196
18037,DUBOIS,216
18039,ELKHART,2105
18041,FAYETTE,151
18043,FLOYD,210
18045,FOUNTAIN,135
18047,FRANKLIN,501
18049,FULTON,135
18051,GIBSON,298
18053,GRANT,163
18055,GREENE,579
18057,HAMILTON,476
18059,HANCOCK,529
18061,HARRISON,797
18063,HENDRICKS,868
18065,HENRY,1089
18067,HOWARD,163
18069,HUNTINGTON,433
18071,JACKSON,784
18073,JASPER,570
18075,JAY,355
18077,JEFFERSON,793
18079,JENNINGS,362
18081,JOHNSON,763
18083,KNOX,114
18085,KOSCIUSKO,337
18087,LAGRANGE,1228
18089,LAKE,152
18091,LA PORTE,323
18093,LAWRENCE,543
18095,MADISON,224
18097,MARION,150
18099,MARSHALL,382
18101,MARTIN,106
18103,MIAMI,383
18105,MONROE,258
18107,MONTGOMERY,947
18109,MORGAN,554
18111,NEWTON,44
18113,NOBLE,697
18117,ORANGE,237
18119,OWEN,631
18121,PARKE,449
18123,PERRY,219
18125,PIKE,372
18127,PORTER,255
18131,PULASKI,562
18133,PUTNAM,407
18135,RANDOLPH,188
18137,RIPLEY,679
18139,RUSH,615
18141,ST. JOSEPH,296
18143,SCOTT,738
18145,SHELBY,368
18147,SPENCER,705
18149,STARKE,418
18151,STEUBEN,265
18153,SULLIVAN,205
18155,SWITZERLAND,413
18157,TIPPECANOE,504
18159,TIPTON,406
18161,UNION,83
18163,VANDERBURGH,82
18165,VERMILLION,271
18167,VIGO,327
18169,WABASH,521
18171,WARREN,409
18173,WARRICK,33
18175,WASHINGTON,491
18177,WAYNE,379
18179,WELLS,164
18181,WHITE,117
18183,WHITLEY,395
