FIPS,COUNTY_NAME,VALUE
18001,ADAMS,185713
18003,ALLEN,43283
18005,BARTHOLOMEW,18460
18007,BENTON,5874
18009,BLACKFORD,36959
18011,BOONE,10775
18015,CARROLL,282051
18017,CASS,102132
18019,CLARK,123
18021,CLAY,484
18023,CLINTON,86754
18025,CRAWFORD,8019
18027,DAVIESS,48781
18029,DEARBORN,461
18031,DECATUR,260939
18033,DE KALB,1500
18035,DELAWARE,14954
18037,DUBOIS,46292
18039,ELKHART,54364
18043,FLOYD,62
18047,FRANKLIN,15180
18049,FULTON,22192
18051,GIBSON,21032
18053,GRANT,39110
18057,HAMILTON,546
18059,HANCOCK,92448
18065,HENRY,20739
18067,HOWARD,61785
18069,HUNTINGTON,27501
18071,JACKSON,21656
18073,JASPER,32282
18075,JAY,271765
18077,JEFFERSON,272
18079,JENNINGS,8521
18083,KNOX,38636
18085,KOSCIUSKO,147464
18087,LAGRANGE,30423
18091,LA PORTE,12542
18093,LAWRENCE,100
18097,MARION,18
18099,MARSHALL,1030
18101,MARTIN,10040
18103,MIAMI,260784
18105,MONROE,75
18111,NEWTON,53507
18113,NOBLE,65880
18119,OWEN,440
18121,PARKE,228
18123,PERRY,15602
18127,PORTER,6462
18129,POSEY,5525
18131,PULASKI,32894
18133,PUTNAM,22964
18135,RANDOLPH,208178
18137,RIPLEY,38856
18139,RUSH,118966
18141,ST. JOSEPH,28308
18143,SCOTT,7606
18145,SHELBY,11383
18147,SPENCER,28941
18149,STARKE,2572
18153,SULLIVAN,205
18155,SWITZERLAND,674
18157,TIPPECANOE,51935
18159,TIPTON,45993
18167,VIGO,236
18169,WABASH,138901
18173,WARRICK,8880
18175,WASHINGTON,20417
18177,WAYNE,23093
18179,WELLS,180138
18181,WHITE,230993
18183,WHITLEY,92600
