FIPS,COUNTY_NAME,VALUE
20001,ALLEN,16932
20003,ANDERSON,18935
20005,ATCHISON,11571
20007,BARBER,25201
20009,BARTON,16408
20011,BOURBON,27511
20013,BROWN,8774
20015,BUTLER,24518
20017,CHASE,13693
20019,CHAUTAUQUA,18686
20021,CHEROKEE,17702
20023,CHEYENNE,13843
20025,CLARK,11163
20027,CLAY,15179
20029,CLOUD,15602
20031,COFFEY,14612
20033,COMANCHE,21072
20035,COWLEY,28973
20037,CRAWFORD,24255
20039,DECATUR,11482
20041,DICKINSON,14130
20043,DONIPHAN,4709
20045,DOUGLAS,11594
20047,EDWARDS,9974
20049,ELK,14059
20051,ELLIS,16599
20053,ELLSWORTH,17990
20055,FINNEY,8147
20057,FORD,9605
20059,FRANKLIN,19129
20061,GEARY,8108
20063,GOVE,14882
20065,GRAHAM,13655
20067,GRANT,8626
20069,GRAY,42471
20071,GREELEY,9327
20073,GREENWOOD,25534
20075,HAMILTON,61113
20077,HARPER,15222
20079,HARVEY,9366
20081,HASKELL,2861
20083,HODGEMAN,16405
20085,JACKSON,23433
20087,JEFFERSON,17778
20089,JEWELL,13882
20091,JOHNSON,4995
20093,KEARNY,11398
20095,KINGMAN,19880
20097,KIOWA,10189
20099,LABETTE,31654
20101,LANE,6651
20103,LEAVENWORTH,14460
20105,LINCOLN,19312
20107,LINN,21184
20109,LOGAN,13735
20111,LYON,18291
20113,MCPHERSON,14626
20115,MARION,23703
20117,MARSHALL,17693
20119,MEADE,16203
20121,MIAMI,22701
20123,MITCHELL,13728
20125,MONTGOMERY,23747
20127,MORRIS,18096
20129,MORTON,3104
20131,NEMAHA,20771
20133,NEOSHO,21458
20135,NESS,18092
20137,NORTON,17250
20139,OSAGE,19805
20141,OSBORNE,14984
20143,OTTAWA,18404
20145,PAWNEE,6473
20147,PHILLIPS,23867
20149,POTTAWATOMIE,26134
20151,PRATT,9722
20153,RAWLINS,14589
20155,RENO,28529
20157,REPUBLIC,13961
20159,RICE,11107
20161,RILEY,13517
20163,ROOKS,17670
20165,RUSH,10728
20167,RUSSELL,16523
20169,SALINE,11705
20171,SCOTT,6374
20173,SEDGWICK,16193
20175,SEWARD,8074
20177,SHAWNEE,7768
20179,SHERIDAN,15387
20181,SHERMAN,5711
20183,SMITH,16184
20185,STAFFORD,9506
20187,STANTON,6392
20189,STEVENS,9010
20191,SUMNER,13934
20193,THOMAS,11022
20195,TREGO,16482
20197,WABAUNSEE,20156
20199,WALLACE,9128
20201,WASHINGTON,30906
20203,WICHITA,4361
20205,WILSON,13842
20207,WOODSON,14165
20209,WYANDOTTE,569
