FIPS,COUNTY_NAME,VALUE
20001,ALLEN,30348
20003,ANDERSON,39110
20005,ATCHISON,26787
20007,BARBER,63466
20009,BARTON,107438
20011,BOURBON,71079
20013,BROWN,18195
20015,BUTLER,120420
20017,CHASE,52801
20019,CHAUTAUQUA,33126
20021,CHEROKEE,30132
20023,CHEYENNE,40720
20025,CLARK,48707
20027,CLAY,32673
20029,CLOUD,31821
20031,COFFEY,36472
20033,COMANCHE,45571
20035,COWLEY,52539
20037,CRAWFORD,43408
20039,DECATUR,69056
20041,DICKINSON,78274
20043,DONIPHAN,7424
20045,DOUGLAS,20579
20047,EDWARDS,67286
20049,ELK,32866
20051,ELLIS,32080
20053,ELLSWORTH,33215
20055,FINNEY,236618
20057,FORD,150983
20059,FRANKLIN,55763
20061,GEARY,20361
20063,GOVE,76970
20065,GRAHAM,23443
20067,GRANT,223764
20069,GRAY,266643
20071,GREELEY,34675
20073,GREENWOOD,71029
20075,HAMILTON,138334
20077,HARPER,55070
20079,HARVEY,38572
20081,HASKELL,392449
20083,HODGEMAN,79683
20085,JACKSON,44078
20087,JEFFERSON,39069
20089,JEWELL,31442
20091,JOHNSON,9855
20093,KEARNY,73195
20095,KINGMAN,38647
20097,KIOWA,26582
20099,LABETTE,85202
20101,LANE,69002
20103,LEAVENWORTH,24099
20105,LINCOLN,35198
20107,LINN,37443
20109,LOGAN,39292
20111,LYON,60088
20113,MCPHERSON,37676
20115,MARION,71819
20117,MARSHALL,40561
20119,MEADE,74819
20121,MIAMI,40025
20123,MITCHELL,32254
20125,MONTGOMERY,40756
20127,MORRIS,63645
20129,MORTON,12660
20131,NEMAHA,58596
20133,NEOSHO,51767
20135,NESS,38415
20137,NORTON,47840
20139,OSAGE,37088
20141,OSBORNE,29651
20143,OTTAWA,48147
20145,PAWNEE,74300
20147,PHILLIPS,48414
20149,POTTAWATOMIE,62588
20151,PRATT,63736
20153,RAWLINS,34388
20155,RENO,86985
20157,REPUBLIC,50498
20159,RICE,60616
20161,RILEY,29166
20163,ROOKS,38405
20165,RUSH,22349
20167,RUSSELL,30028
20169,SALINE,29868
20171,SCOTT,294728
20173,SEDGWICK,29054
20175,SEWARD,120806
20177,SHAWNEE,15239
20179,SHERIDAN,102085
20181,SHERMAN,26456
20183,SMITH,31443
20185,STAFFORD,52850
20187,STANTON,23024
20189,STEVENS,45386
20191,SUMNER,29927
20193,THOMAS,60489
20195,TREGO,28101
20197,WABAUNSEE,47474
20199,WALLACE,16548
20201,WASHINGTON,71976
20203,WICHITA,128670
20205,WILSON,23231
20207,WOODSON,30199
20209,WYANDOTTE,884
