FIPS,COUNTY_NAME,VALUE
20001,ALLEN,905
20003,ANDERSON,1526
20005,ATCHISON,823
20007,BARBER,432
20009,BARTON,489
20011,BOURBON,1319
20013,BROWN,387
20015,BUTLER,3660
20017,CHASE,62
20019,CHAUTAUQUA,631
20021,CHEROKEE,951
20023,CHEYENNE,913
20025,CLARK,115
20027,CLAY,704
20029,CLOUD,764
20031,COFFEY,666
20033,COMANCHE,32
20035,COWLEY,1171
20037,CRAWFORD,1545
20039,DECATUR,159
20041,DICKINSON,734
20043,DONIPHAN,540
20045,DOUGLAS,3160
20047,EDWARDS,246
20049,ELK,237
20051,ELLIS,1026
20053,ELLSWORTH,411
20055,FINNEY,270
20057,FORD,476
20059,FRANKLIN,2328
20061,GEARY,325
20063,GOVE,267
20065,GRAHAM,149
20069,GRAY,117
20071,GREELEY,70
20073,GREENWOOD,507
20075,HAMILTON,292
20077,HARPER,381
20079,HARVEY,3014
20083,HODGEMAN,142
20085,JACKSON,1464
20087,JEFFERSON,2576
20089,JEWELL,780
20091,JOHNSON,2326
20093,KEARNY,577
20095,KINGMAN,476
20097,KIOWA,88
20099,LABETTE,1696
20101,LANE,116
20103,LEAVENWORTH,4424
20105,LINCOLN,476
20107,LINN,2551
20109,LOGAN,80
20111,LYON,1153
20113,MCPHERSON,32964
20115,MARION,2919
20117,MARSHALL,1097
20119,MEADE,140
20121,MIAMI,3770
20123,MITCHELL,258
20125,MONTGOMERY,2345
20127,MORRIS,599
20129,MORTON,142
20131,NEMAHA,426
20133,NEOSHO,1444
20137,NORTON,316
20139,OSAGE,1110
20141,OSBORNE,451
20143,OTTAWA,524
20145,PAWNEE,114
20147,PHILLIPS,577
20151,PRATT,403
20153,RAWLINS,451
20155,RENO,3940
20157,REPUBLIC,211
20161,RILEY,1234
20163,ROOKS,223
20165,RUSH,200
20167,RUSSELL,155
20169,SALINE,829
20173,SEDGWICK,3800
20175,SEWARD,325
20177,SHAWNEE,1769
20179,SHERIDAN,562
20181,SHERMAN,645
20183,SMITH,772
20185,STAFFORD,138
20189,STEVENS,260
20191,SUMNER,9309
20193,THOMAS,339
20197,WABAUNSEE,923
20199,WALLACE,61
20201,WASHINGTON,1110
20203,WICHITA,145
20205,WILSON,384
20207,WOODSON,386
20209,WYANDOTTE,1048
