FIPS,COUNTY_NAME,VALUE
20001,ALLEN,101
20009,BARTON,815
20011,BOURBON,17
20015,BUTLER,193
20021,CHEROKEE,136
20023,CHEYENNE,82
20029,CLOUD,40
20031,COFFEY,40
20035,COWLEY,33
20037,CRAWFORD,66
20041,DICKINSON,490
20043,DONIPHAN,155
20045,DOUGLAS,291
20051,ELLIS,36
20059,FRANKLIN,162
20077,HARPER,28
20079,HARVEY,525
20083,HODGEMAN,30
20085,JACKSON,174
20087,JEFFERSON,501
20091,JOHNSON,510
20093,KEARNY,167
20095,KINGMAN,98
20099,LABETTE,261
20103,LEAVENWORTH,722
20107,LINN,553
20111,LYON,88
20113,MCPHERSON,172
20117,MARSHALL,101
20121,MIAMI,334
20123,MITCHELL,135
20125,MONTGOMERY,367
20127,MORRIS,48
20131,NEMAHA,160
20139,OSAGE,259
20141,OSBORNE,600
20143,OTTAWA,180
20147,PHILLIPS,174
20155,RENO,291
20157,REPUBLIC,22
20173,SEDGWICK,387
20177,SHAWNEE,338
20179,SHERIDAN,401
20181,SHERMAN,60
20193,THOMAS,24
20197,WABAUNSEE,114
20201,WASHINGTON,222
20209,WYANDOTTE,472
