FIPS,COUNTY_NAME,VALUE
20001,ALLEN,284
20003,ANDERSON,383
20005,ATCHISON,227
20007,BARBER,429
20009,BARTON,497
20011,BOURBON,1406
20013,BROWN,206
20015,BUTLER,4289
20017,CHASE,547
20019,CHAUTAUQUA,637
20021,CHEROKEE,571
20023,CHEYENNE,126
20025,CLARK,166
20027,CLAY,229
20029,CLOUD,237
20031,COFFEY,881
20033,COMANCHE,208
20035,COWLEY,902
20037,CRAWFORD,437
20039,DECATUR,138
20041,DICKINSON,556
20043,DONIPHAN,125
20045,DOUGLAS,959
20047,EDWARDS,243
20049,ELK,231
20051,ELLIS,455
20053,ELLSWORTH,219
20055,FINNEY,469
20057,FORD,462
20059,FRANKLIN,889
20061,GEARY,276
20063,GOVE,290
20065,GRAHAM,354
20067,GRANT,108
20069,GRAY,223
20071,GREELEY,133
20073,GREENWOOD,4985
20075,HAMILTON,124
20077,HARPER,177
20079,HARVEY,504
20081,HASKELL,87
20083,HODGEMAN,239
20085,JACKSON,579
20087,JEFFERSON,814
20089,JEWELL,217
20091,JOHNSON,1116
20093,KEARNY,95
20095,KINGMAN,667
20097,KIOWA,329
20099,LABETTE,1022
20101,LANE,169
20103,LEAVENWORTH,1138
20105,LINCOLN,346
20107,LINN,836
20109,LOGAN,316
20111,LYON,943
20113,MCPHERSON,698
20115,MARION,718
20117,MARSHALL,411
20119,MEADE,372
20121,MIAMI,1565
20123,MITCHELL,125
20125,MONTGOMERY,969
20127,MORRIS,596
20129,MORTON,119
20131,NEMAHA,152
20133,NEOSHO,378
20135,NESS,178
20137,NORTON,309
20139,OSAGE,719
20141,OSBORNE,72
20143,OTTAWA,357
20145,PAWNEE,41
20147,PHILLIPS,451
20149,POTTAWATOMIE,940
20151,PRATT,231
20153,RAWLINS,93
20155,RENO,1530
20157,REPUBLIC,233
20159,RICE,197
20161,RILEY,360
20163,ROOKS,126
20165,RUSH,123
20167,RUSSELL,414
20169,SALINE,406
20171,SCOTT,311
20173,SEDGWICK,1728
20175,SEWARD,252
20177,SHAWNEE,975
20179,SHERIDAN,50
20181,SHERMAN,305
20183,SMITH,132
20185,STAFFORD,256
20187,STANTON,13
20189,STEVENS,236
20191,SUMNER,402
20193,THOMAS,266
20195,TREGO,166
20197,WABAUNSEE,606
20199,WALLACE,187
20201,WASHINGTON,195
20203,WICHITA,194
20205,WILSON,249
20207,WOODSON,283
20209,WYANDOTTE,224
