FIPS,COUNTY_NAME,VALUE
20001,ALLEN,596
20003,ANDERSON,586
20005,ATCHISON,206
20007,BARBER,249
20009,BARTON,81
20011,BOURBON,614
20013,BROWN,326
20015,BUTLER,1509
20017,CHASE,43
20021,CHEROKEE,494
20023,CHEYENNE,130
20027,CLAY,474
20035,COWLEY,983
20037,CRAWFORD,450
20043,DONIPHAN,395
20045,DOUGLAS,385
20049,ELK,749
20053,ELLSWORTH,320
20055,FINNEY,21
20057,FORD,188
20059,FRANKLIN,633
20063,GOVE,488
20065,GRAHAM,115
20069,GRAY,416
20073,GREENWOOD,1976
20075,HAMILTON,265
20079,HARVEY,280
20085,JACKSON,663
20087,JEFFERSON,899
20091,JOHNSON,454
20093,KEARNY,58
20095,KINGMAN,520
20099,LABETTE,1303
20103,LEAVENWORTH,867
20107,LINN,1355
20109,LOGAN,24
20111,LYON,2270
20113,MCPHERSON,581
20115,MARION,854
20117,MARSHALL,114
20119,MEADE,78
20121,MIAMI,1156
20125,MONTGOMERY,665
20127,MORRIS,285
20129,MORTON,176
20137,NORTON,88
20139,OSAGE,446
20141,OSBORNE,440
20145,PAWNEE,205
20147,PHILLIPS,222
20149,POTTAWATOMIE,567
20151,PRATT,457
20153,RAWLINS,69
20155,RENO,1072
20161,RILEY,1021
20163,ROOKS,94
20165,RUSH,290
20167,RUSSELL,160
20169,SALINE,357
20173,SEDGWICK,632
20177,SHAWNEE,457
20181,SHERMAN,238
20183,SMITH,197
20185,STAFFORD,88
20191,SUMNER,1061
20193,THOMAS,288
20197,WABAUNSEE,403
20201,WASHINGTON,486
20203,WICHITA,195
20205,WILSON,492
20209,WYANDOTTE,435
