FIPS,COUNTY_NAME,VALUE
20001,ALLEN,626
20003,ANDERSON,651
20005,ATCHISON,292
20007,BARBER,249
20009,BARTON,81
20011,BOURBON,1027
20013,BROWN,356
20015,BUTLER,1949
20017,CHASE,43
20019,CHAUTAUQUA,745
20021,CHEROKEE,520
20023,CHEYENNE,130
20027,CLAY,485
20029,CLOUD,237
20031,COFFEY,433
20035,COWLEY,992
20037,CRAWFORD,455
20039,DECATUR,79
20041,DICKINSON,661
20043,DONIPHAN,426
20045,DOUGLAS,630
20049,ELK,778
20051,ELLIS,204
20053,ELLSWORTH,396
20055,FINNEY,21
20057,FORD,214
20059,FRANKLIN,778
20061,GEARY,310
20063,GOVE,488
20065,GRAHAM,115
20069,GRAY,416
20073,GREENWOOD,2030
20075,HAMILTON,290
20077,HARPER,32
20079,HARVEY,331
20083,HODGEMAN,197
20085,JACKSON,682
20087,JEFFERSON,1163
20089,JEWELL,34
20091,JOHNSON,593
20093,KEARNY,58
20095,KINGMAN,546
20099,LABETTE,1536
20101,LANE,486
20103,LEAVENWORTH,1107
20105,LINCOLN,950
20107,LINN,1405
20109,LOGAN,24
20111,LYON,2403
20113,MCPHERSON,634
20115,MARION,1020
20117,MARSHALL,138
20119,MEADE,78
20121,MIAMI,1572
20125,MONTGOMERY,959
20127,MORRIS,356
20129,MORTON,187
20131,NEMAHA,306
20133,NEOSHO,1671
20137,NORTON,88
20139,OSAGE,480
20141,OSBORNE,452
20143,OTTAWA,104
20145,PAWNEE,205
20147,PHILLIPS,357
20149,POTTAWATOMIE,662
20151,PRATT,457
20153,RAWLINS,106
20155,RENO,1386
20157,REPUBLIC,179
20159,RICE,240
20161,RILEY,1343
20163,ROOKS,94
20165,RUSH,290
20167,RUSSELL,204
20169,SALINE,375
20173,SEDGWICK,726
20177,SHAWNEE,653
20179,SHERIDAN,348
20181,SHERMAN,238
20183,SMITH,218
20185,STAFFORD,120
20191,SUMNER,1110
20193,THOMAS,288
20197,WABAUNSEE,454
20199,WALLACE,74
20201,WASHINGTON,622
20203,WICHITA,195
20205,WILSON,492
20207,WOODSON,154
20209,WYANDOTTE,475
