FIPS,COUNTY_NAME,VALUE
20001,ALLEN,60
20003,ANDERSON,138
20009,BARTON,54
20011,BOURBON,94
20015,BUTLER,186
20021,CHEROKEE,65
20029,CLOUD,80
20031,COFFEY,123
20035,COWLEY,180
20037,CRAWFORD,49
20041,DICKINSON,71
20045,DOUGLAS,50
20051,ELLIS,50
20057,FORD,17
20059,FRANKLIN,163
20061,GEARY,68
20063,GOVE,14
20073,GREENWOOD,41
20079,HARVEY,69
20087,JEFFERSON,337
20091,JOHNSON,90
20093,KEARNY,43
20095,KINGMAN,44
20103,LEAVENWORTH,252
20105,LINCOLN,20
20107,LINN,94
20111,LYON,30
20113,MCPHERSON,75
20115,MARION,153
20121,MIAMI,241
20125,MONTGOMERY,114
20127,MORRIS,114
20129,MORTON,8
20131,NEMAHA,10
20133,NEOSHO,52
20139,OSAGE,24
20141,OSBORNE,182
20149,POTTAWATOMIE,52
20155,RENO,51
20157,REPUBLIC,44
20159,RICE,98
20169,SALINE,102
20173,SEDGWICK,305
20177,SHAWNEE,83
20183,SMITH,15
20191,SUMNER,418
20201,WASHINGTON,33
20203,WICHITA,60
20205,WILSON,34
20209,WYANDOTTE,9
