FIPS,COUNTY_NAME,VALUE
20003,ANDERSON,37
20005,ATCHISON,22
20009,BARTON,47
20011,BOURBON,109
20015,BUTLER,369
20019,CHAUTAUQUA,297
20021,CHEROKEE,62
20029,CLOUD,61
20031,COFFEY,62
20033,COMANCHE,21
20035,COWLEY,70
20037,CRAWFORD,47
20041,DICKINSON,51
20043,DONIPHAN,112
20045,DOUGLAS,76
20049,ELK,6
20053,ELLSWORTH,23
20059,FRANKLIN,92
20065,GRAHAM,12
20073,GREENWOOD,80
20075,HAMILTON,10
20079,HARVEY,267
20085,JACKSON,44
20087,JEFFERSON,132
20091,JOHNSON,592
20095,KINGMAN,11
20097,KIOWA,33
20099,LABETTE,102
20103,LEAVENWORTH,229
20107,LINN,109
20111,LYON,61
20113,MCPHERSON,10
20115,MARION,544
20117,MARSHALL,34
20121,MIAMI,216
20123,MITCHELL,13
20125,MONTGOMERY,77
20127,MORRIS,26
20133,NEOSHO,48
20139,OSAGE,116
20143,OTTAWA,7
20149,POTTAWATOMIE,126
20155,RENO,128
20157,REPUBLIC,46
20159,RICE,42
20161,RILEY,105
20169,SALINE,46
20173,SEDGWICK,175
20177,SHAWNEE,172
20185,STAFFORD,14
20191,SUMNER,68
20201,WASHINGTON,46
20205,WILSON,16
20207,WOODSON,22
