FIPS,COUNTY_NAME,VALUE
21001,ADAIR,18642
21003,ALLEN,26200
21005,ANDERSON,7592
21007,BALLARD,1931
21009,BARREN,40571
21011,BATH,14342
21013,BELL,334
21015,BOONE,3200
21017,BOURBON,29857
21019,BOYD,581
21021,BOYLE,25445
21023,BRACKEN,4752
21025,BREATHITT,359
21027,BRECKINRIDGE,19133
21029,BULLITT,2569
21031,BUTLER,6186
21033,CALDWELL,3575
21035,CALLOWAY,4485
21037,CAMPBELL,3647
21039,CARLISLE,1703
21041,CARROLL,2865
21043,CARTER,4688
21045,CASEY,16508
21047,CHRISTIAN,14256
21049,CLARK,19286
21051,CLAY,1019
21053,CLINTON,11750
21055,CRITTENDEN,5182
21057,CUMBERLAND,4367
21059,DAVIESS,5332
21061,EDMONSON,7908
21063,ELLIOTT,2422
21065,ESTILL,3340
21067,FAYETTE,5756
21069,FLEMING,23940
21071,FLOYD,192
21073,FRANKLIN,8632
21075,FULTON,305
21077,GALLATIN,1115
21079,GARRARD,26230
21081,GRANT,6171
21083,GRAVES,8509
21085,GRAYSON,17479
21087,GREEN,12215
21089,GREENUP,3030
21091,HANCOCK,2616
21093,HARDIN,12799
21095,HARLAN,55
21097,HARRISON,15514
21099,HART,15941
21101,HENDERSON,3521
21103,HENRY,12744
21105,HICKMAN,2159
21107,HOPKINS,3372
21109,JACKSON,4035
21111,JEFFERSON,1049
21113,JESSAMINE,7806
21115,JOHNSON,502
21117,KENTON,2328
21119,KNOTT,290
21121,KNOX,1539
21123,LARUE,7921
21125,LAUREL,9037
21127,LAWRENCE,1200
21129,LEE,1150
21131,LESLIE,19
21133,LETCHER,114
21135,LEWIS,3567
21137,LINCOLN,30266
21139,LIVINGSTON,7181
21141,LOGAN,16738
21143,LYON,1529
21145,MCCRACKEN,1096
21147,MCCREARY,1671
21149,MCLEAN,1962
21151,MADISON,41229
21153,MAGOFFIN,1009
21155,MARION,23837
21157,MARSHALL,7311
21159,MARTIN,428
21161,MASON,12161
21163,MEADE,8693
21165,MENIFEE,2367
21167,MERCER,31784
21169,METCALFE,14549
21171,MONROE,26457
21173,MONTGOMERY,17584
21175,MORGAN,3922
21177,MUHLENBERG,4974
21179,NELSON,27168
21181,NICHOLAS,12767
21183,OHIO,6917
21185,OLDHAM,2172
21187,OWEN,11232
21189,OWSLEY,547
21191,PENDLETON,3650
21193,PERRY,104
21195,PIKE,536
21197,POWELL,783
21199,PULASKI,30132
21201,ROBERTSON,3114
21203,ROCKCASTLE,5321
21205,ROWAN,1641
21207,RUSSELL,18644
21209,SCOTT,15046
21211,SHELBY,17608
21213,SIMPSON,4182
21215,SPENCER,6258
21217,TAYLOR,10969
21219,TODD,11591
21221,TRIGG,7296
21223,TRIMBLE,3328
21225,UNION,3492
21227,WARREN,18564
21229,WASHINGTON,20075
21231,WAYNE,9322
21233,WEBSTER,3922
21235,WHITLEY,3632
21237,WOLFE,522
21239,WOODFORD,12412
