FIPS,COUNTY_NAME,VALUE
21001,ADAIR,2206
21003,ALLEN,40547
21005,ANDERSON,2458
21007,BALLARD,60365
21009,BARREN,1724
21011,BATH,6302
21013,BELL,596
21015,BOONE,8163
21017,BOURBON,1604
21019,BOYD,755
21021,BOYLE,1526
21023,BRACKEN,1125
21025,BREATHITT,422
21027,BRECKINRIDGE,4326
21029,BULLITT,2772
21033,CALDWELL,647
21037,CAMPBELL,3103
21039,CARLISLE,65367
21041,CARROLL,551
21043,CARTER,2640
21045,CASEY,70733
21047,CHRISTIAN,160902
21049,CLARK,9274
21051,CLAY,1017
21053,CLINTON,68663
21055,CRITTENDEN,1621
21057,CUMBERLAND,746
21059,DAVIESS,2322
21061,EDMONSON,116714
21063,ELLIOTT,1646
21065,ESTILL,1041
21067,FAYETTE,2190
21069,FLEMING,1660
21071,FLOYD,521
21073,FRANKLIN,2229
21075,FULTON,120572
21077,GALLATIN,766
21079,GARRARD,1454
21081,GRANT,3186
21083,GRAVES,331557
21085,GRAYSON,81479
21087,GREEN,2359
21089,GREENUP,1732
21091,HANCOCK,1306
21093,HARDIN,4006
21095,HARLAN,134
21097,HARRISON,2426
21099,HART,16025
21101,HENDERSON,1083
21103,HENRY,2312
21109,JACKSON,1836
21111,JEFFERSON,2005
21113,JESSAMINE,2762
21115,JOHNSON,1323
21117,KENTON,1316
21119,KNOTT,181
21121,KNOX,2460
21123,LARUE,1320
21125,LAUREL,1423
21127,LAWRENCE,791
21129,LEE,728
21131,LESLIE,231
21133,LETCHER,1145
21135,LEWIS,1013
21137,LINCOLN,14671
21139,LIVINGSTON,449
21141,LOGAN,297357
21143,LYON,425
21149,MCLEAN,126704
21151,MADISON,3286
21153,MAGOFFIN,909
21155,MARION,840
21157,MARSHALL,4095
21161,MASON,733
21163,MEADE,1378
21165,MENIFEE,626
21167,MERCER,3635
21169,METCALFE,1184
21173,MONTGOMERY,2817
21175,MORGAN,1344
21179,NELSON,4488
21181,NICHOLAS,13397
21183,OHIO,2324
21185,OLDHAM,1934
21187,OWEN,1457
21189,OWSLEY,618
21191,PENDLETON,3096
21193,PERRY,451
21195,PIKE,469
21197,POWELL,961
21199,PULASKI,30069
21201,ROBERTSON,468
21203,ROCKCASTLE,1773
21205,ROWAN,418
21207,RUSSELL,1176
21209,SCOTT,1536
21211,SHELBY,4472
21213,SIMPSON,1030
21215,SPENCER,1414
21217,TAYLOR,1652
21219,TODD,2442026
21221,TRIGG,10059
21223,TRIMBLE,1397
21225,UNION,153
21227,WARREN,226601
21229,WASHINGTON,2079
21231,WAYNE,122537
21233,WEBSTER,240
21235,WHITLEY,1986
21237,WOLFE,737
21239,WOODFORD,1208
