FIPS,COUNTY_NAME,VALUE
21001,ADAIR,90
21003,ALLEN,1873
21005,ANDERSON,305
21009,BARREN,282
21011,BATH,89
21013,BELL,350
21015,BOONE,345
21017,BOURBON,714
21019,BOYD,62
21021,BOYLE,90
21023,BRACKEN,54
21027,BRECKINRIDGE,756
21029,BULLITT,562
21031,BUTLER,216
21033,CALDWELL,92
21035,CALLOWAY,47279
21037,CAMPBELL,342
21039,CARLISLE,60020
21043,CARTER,663
21045,CASEY,333
21047,CHRISTIAN,699
21049,CLARK,1247
21051,CLAY,172
21053,CLINTON,36
21055,CRITTENDEN,675
21059,DAVIESS,668
21063,ELLIOTT,76
21065,ESTILL,102
21067,FAYETTE,44
21069,FLEMING,211
21073,FRANKLIN,868
21077,GALLATIN,182
21079,GARRARD,183
21081,GRANT,282
21083,GRAVES,285015
21087,GREEN,188
21091,HANCOCK,124
21093,HARDIN,370
21095,HARLAN,54
21097,HARRISON,260
21099,HART,200
21101,HENDERSON,270
21103,HENRY,200
21105,HICKMAN,70
21109,JACKSON,223
21111,JEFFERSON,72
21113,JESSAMINE,641
21115,JOHNSON,129
21117,KENTON,182
21121,KNOX,466
21123,LARUE,270
21125,LAUREL,224
21127,LAWRENCE,70
21133,LETCHER,331
21135,LEWIS,106
21137,LINCOLN,121
21139,LIVINGSTON,185
21141,LOGAN,163
21145,MCCRACKEN,129
21147,MCCREARY,214
21149,MCLEAN,510
21151,MADISON,834
21153,MAGOFFIN,220
21155,MARION,139
21161,MASON,81
21163,MEADE,124
21165,MENIFEE,30
21167,MERCER,455
21169,METCALFE,73
21173,MONTGOMERY,72
21175,MORGAN,137
21179,NELSON,562
21183,OHIO,514
21185,OLDHAM,67
21187,OWEN,171
21191,PENDLETON,292
21193,PERRY,125
21197,POWELL,34
21203,ROCKCASTLE,270
21205,ROWAN,34
21207,RUSSELL,70
21209,SCOTT,78
21211,SHELBY,355
21213,SIMPSON,127200
21215,SPENCER,141
21217,TAYLOR,32
21221,TRIGG,4106
21223,TRIMBLE,75
21227,WARREN,476064
21229,WASHINGTON,513
21231,WAYNE,189246
21235,WHITLEY,94
21237,WOLFE,315
21239,WOODFORD,290
