FIPS,COUNTY_NAME,VALUE
21001,ADAIR,92
21003,ALLEN,719
21005,ANDERSON,145
21007,BALLARD,18
21009,BARREN,169
21011,BATH,81
21013,BELL,72
21015,BOONE,53
21017,BOURBON,22
21019,BOYD,44
21021,BOYLE,80
21025,BREATHITT,22
21027,BRECKINRIDGE,11
21029,BULLITT,274
21031,BUTLER,46
21033,CALDWELL,24
21035,CALLOWAY,313
21037,CAMPBELL,99
21041,CARROLL,32
21043,CARTER,62
21045,CASEY,246
21047,CHRISTIAN,519
21049,CLARK,48
21053,CLINTON,42
21055,CRITTENDEN,18
21059,DAVIESS,31
21061,EDMONSON,78
21063,ELLIOTT,48
21065,ESTILL,76
21067,FAYETTE,136
21071,FLOYD,30
21079,GARRARD,54
21081,GRANT,68
21083,GRAVES,117
21085,GRAYSON,42
21087,GREEN,6
21089,GREENUP,113
21091,HANCOCK,140
21093,HARDIN,165
21097,HARRISON,200
21099,HART,526
21101,HENDERSON,28
21103,HENRY,131
21107,HOPKINS,63
21109,JACKSON,52
21111,JEFFERSON,41
21113,JESSAMINE,155
21115,JOHNSON,12
21117,KENTON,217
21121,KNOX,24
21123,LARUE,166
21125,LAUREL,38
21127,LAWRENCE,20
21129,LEE,41
21133,LETCHER,36
21137,LINCOLN,359
21139,LIVINGSTON,91
21141,LOGAN,120
21143,LYON,8
21145,MCCRACKEN,27
21149,MCLEAN,44
21151,MADISON,220
21157,MARSHALL,149
21161,MASON,32
21163,MEADE,24
21167,MERCER,338
21169,METCALFE,124
21173,MONTGOMERY,54
21175,MORGAN,55
21179,NELSON,306
21181,NICHOLAS,152
21183,OHIO,241
21185,OLDHAM,122
21187,OWEN,15
21189,OWSLEY,34
21191,PENDLETON,143
21195,PIKE,6
21197,POWELL,74
21199,PULASKI,158
21201,ROBERTSON,56
21203,ROCKCASTLE,16
21207,RUSSELL,96
21209,SCOTT,30
21211,SHELBY,254
21213,SIMPSON,104
21215,SPENCER,34
21217,TAYLOR,20
21223,TRIMBLE,8
21225,UNION,41
21227,WARREN,183
21229,WASHINGTON,97
21231,WAYNE,51
21235,WHITLEY,64
21237,WOLFE,6
21239,WOODFORD,86
