FIPS,COUNTY_NAME,VALUE
21001,ADAIR,1407
21003,ALLEN,2296
21005,ANDERSON,943
21007,BALLARD,173
21009,BARREN,1606
21011,BATH,739
21013,BELL,96
21015,BOONE,1354
21017,BOURBON,7925
21019,BOYD,320
21021,BOYLE,832
21023,BRACKEN,450
21025,BREATHITT,190
21027,BRECKINRIDGE,1176
21029,BULLITT,842
21031,BUTLER,505
21033,CALDWELL,835
21035,CALLOWAY,717
21037,CAMPBELL,715
21039,CARLISLE,237
21041,CARROLL,290
21043,CARTER,584
21045,CASEY,851
21047,CHRISTIAN,1448
21049,CLARK,1158
21051,CLAY,75
21053,CLINTON,376
21055,CRITTENDEN,507
21057,CUMBERLAND,323
21059,DAVIESS,538
21061,EDMONSON,525
21063,ELLIOTT,246
21065,ESTILL,316
21067,FAYETTE,12661
21069,FLEMING,1351
21071,FLOYD,258
21073,FRANKLIN,699
21075,FULTON,47
21077,GALLATIN,196
21079,GARRARD,1125
21081,GRANT,976
21083,GRAVES,839
21085,GRAYSON,1414
21087,GREEN,584
21089,GREENUP,929
21091,HANCOCK,253
21093,HARDIN,1406
21097,HARRISON,1327
21099,HART,2062
21101,HENDERSON,717
21103,HENRY,1233
21105,HICKMAN,201
21107,HOPKINS,834
21109,JACKSON,635
21111,JEFFERSON,1013
21113,JESSAMINE,3536
21115,JOHNSON,234
21117,KENTON,566
21119,KNOTT,136
21121,KNOX,457
21123,LARUE,791
21125,LAUREL,765
21127,LAWRENCE,209
21129,LEE,189
21131,LESLIE,34
21133,LETCHER,94
21135,LEWIS,355
21137,LINCOLN,1207
21139,LIVINGSTON,504
21141,LOGAN,722
21143,LYON,325
21145,MCCRACKEN,292
21147,MCCREARY,77
21149,MCLEAN,413
21151,MADISON,1044
21153,MAGOFFIN,302
21155,MARION,660
21157,MARSHALL,734
21161,MASON,685
21163,MEADE,778
21165,MENIFEE,305
21167,MERCER,2732
21169,METCALFE,892
21171,MONROE,398
21173,MONTGOMERY,991
21175,MORGAN,1590
21177,MUHLENBERG,601
21179,NELSON,1532
21181,NICHOLAS,1122
21183,OHIO,519
21185,OLDHAM,2286
21187,OWEN,843
21189,OWSLEY,96
21191,PENDLETON,1082
21193,PERRY,73
21195,PIKE,195
21197,POWELL,132
21199,PULASKI,1733
21201,ROBERTSON,203
21203,ROCKCASTLE,723
21205,ROWAN,378
21207,RUSSELL,648
21209,SCOTT,3848
21211,SHELBY,3921
21213,SIMPSON,694
21215,SPENCER,675
21217,TAYLOR,748
21219,TODD,1110
21221,TRIGG,570
21223,TRIMBLE,290
21225,UNION,433
21227,WARREN,2309
21229,WASHINGTON,991
21231,WAYNE,435
21233,WEBSTER,330
21235,WHITLEY,527
21237,WOLFE,223
21239,WOODFORD,6925
