FIPS,COUNTY_NAME,VALUE
21001,ADAIR,278
21003,ALLEN,235
21005,ANDERSON,124
21007,BALLARD,16
21009,BARREN,258
21011,BATH,128
21013,BELL,48
21015,BOONE,85
21017,BOURBON,205
21019,BOYD,39
21021,BOYLE,208
21023,BRACKEN,141
21025,BREATHITT,23
21027,BRECKINRIDGE,100
21029,BULLITT,68
21031,BUTLER,74
21033,CALDWELL,81
21035,CALLOWAY,169
21037,CAMPBELL,39
21039,CARLISLE,14
21041,CARROLL,32
21043,CARTER,121
21045,CASEY,267
21047,CHRISTIAN,476
21049,CLARK,158
21051,CLAY,35
21053,CLINTON,44
21055,CRITTENDEN,81
21057,CUMBERLAND,23
21059,DAVIESS,71
21061,EDMONSON,122
21063,ELLIOTT,45
21065,ESTILL,38
21067,FAYETTE,88
21069,FLEMING,94
21071,FLOYD,35
21073,FRANKLIN,81
21077,GALLATIN,22
21079,GARRARD,101
21081,GRANT,139
21083,GRAVES,45
21085,GRAYSON,221
21087,GREEN,93
21089,GREENUP,86
21091,HANCOCK,61
21093,HARDIN,261
21097,HARRISON,196
21099,HART,212
21101,HENDERSON,58
21103,HENRY,156
21105,HICKMAN,9
21107,HOPKINS,127
21109,JACKSON,73
21111,JEFFERSON,62
21113,JESSAMINE,118
21115,JOHNSON,38
21117,KENTON,82
21119,KNOTT,64
21121,KNOX,79
21123,LARUE,87
21125,LAUREL,180
21127,LAWRENCE,124
21129,LEE,24
21133,LETCHER,27
21135,LEWIS,103
21137,LINCOLN,157
21139,LIVINGSTON,39
21141,LOGAN,130
21143,LYON,129
21145,MCCRACKEN,87
21147,MCCREARY,25
21149,MCLEAN,91
21151,MADISON,105
21153,MAGOFFIN,101
21155,MARION,45
21157,MARSHALL,105
21161,MASON,67
21163,MEADE,128
21165,MENIFEE,41
21167,MERCER,173
21169,METCALFE,133
21171,MONROE,131
21173,MONTGOMERY,79
21175,MORGAN,189
21177,MUHLENBERG,99
21179,NELSON,156
21181,NICHOLAS,51
21183,OHIO,141
21185,OLDHAM,61
21187,OWEN,128
21189,OWSLEY,23
21191,PENDLETON,198
21193,PERRY,15
21195,PIKE,11
21197,POWELL,26
21199,PULASKI,239
21201,ROBERTSON,59
21203,ROCKCASTLE,44
21205,ROWAN,43
21207,RUSSELL,96
21209,SCOTT,197
21211,SHELBY,249
21213,SIMPSON,55
21215,SPENCER,90
21217,TAYLOR,102
21219,TODD,101
21221,TRIGG,83
21223,TRIMBLE,33
21225,UNION,69
21227,WARREN,414
21229,WASHINGTON,116
21231,WAYNE,92
21233,WEBSTER,45
21235,WHITLEY,158
21237,WOLFE,45
21239,WOODFORD,76
