FIPS,COUNTY_NAME,VALUE
21001,ADAIR,112
21003,ALLEN,407
21005,ANDERSON,51
21007,BALLARD,24
21009,BARREN,236
21011,BATH,162
21013,BELL,94
21015,BOONE,56
21017,BOURBON,173
21019,BOYD,17
21021,BOYLE,156
21023,BRACKEN,260
21025,BREATHITT,26
21027,BRECKINRIDGE,1072
21029,BULLITT,230
21033,CALDWELL,59
21037,CAMPBELL,59
21039,CARLISLE,23620
21041,CARROLL,219
21043,CARTER,137
21045,CASEY,998
21047,CHRISTIAN,447
21049,CLARK,66
21051,CLAY,959
21053,CLINTON,55
21055,CRITTENDEN,8227
21057,CUMBERLAND,77
21061,EDMONSON,48
21063,ELLIOTT,21
21069,FLEMING,627
21071,FLOYD,18
21073,FRANKLIN,389
21077,GALLATIN,91
21079,GARRARD,54
21081,GRANT,113
21085,GRAYSON,484
21087,GREEN,197
21089,GREENUP,133
21091,HANCOCK,22
21093,HARDIN,7291
21095,HARLAN,34
21097,HARRISON,153
21099,HART,101
21103,HENRY,207
21105,HICKMAN,23230
21109,JACKSON,35
21111,JEFFERSON,6
21113,JESSAMINE,27
21115,JOHNSON,28
21117,KENTON,76
21121,KNOX,24
21125,LAUREL,507
21127,LAWRENCE,167
21133,LETCHER,131
21135,LEWIS,31
21137,LINCOLN,376
21139,LIVINGSTON,12
21143,LYON,109
21145,MCCRACKEN,67
21147,MCCREARY,56
21151,MADISON,299
21153,MAGOFFIN,17
21155,MARION,10566
21157,MARSHALL,24915
21161,MASON,163
21163,MEADE,69
21165,MENIFEE,68
21167,MERCER,65
21169,METCALFE,104
21171,MONROE,86
21173,MONTGOMERY,88
21175,MORGAN,40
21179,NELSON,813
21181,NICHOLAS,57
21183,OHIO,186
21185,OLDHAM,222
21187,OWEN,155
21189,OWSLEY,117
21191,PENDLETON,104
21193,PERRY,4
21197,POWELL,36
21199,PULASKI,353
21201,ROBERTSON,20
21203,ROCKCASTLE,235
21205,ROWAN,312
21207,RUSSELL,30
21209,SCOTT,87
21211,SHELBY,130
21215,SPENCER,73
21217,TAYLOR,67
21219,TODD,13066
21221,TRIGG,830
21223,TRIMBLE,8
21227,WARREN,20432
21229,WASHINGTON,121
21231,WAYNE,99
21235,WHITLEY,76
21237,WOLFE,94
21239,WOODFORD,10
