FIPS,COUNTY_NAME,VALUE
21001,ADAIR,192
21003,ALLEN,553
21005,ANDERSON,132
21007,BALLARD,24
21009,BARREN,390
21011,BATH,75
21013,BELL,68
21015,BOONE,158
21017,BOURBON,65
21019,BOYD,59
21021,BOYLE,53
21023,BRACKEN,72
21025,BREATHITT,110
21027,BRECKINRIDGE,168
21029,BULLITT,114
21031,BUTLER,77
21033,CALDWELL,25
21035,CALLOWAY,28
21037,CAMPBELL,202
21039,CARLISLE,6
21041,CARROLL,36
21043,CARTER,53
21045,CASEY,115
21047,CHRISTIAN,269
21049,CLARK,153
21051,CLAY,139
21053,CLINTON,21
21055,CRITTENDEN,91
21057,CUMBERLAND,49
21059,DAVIESS,199
21061,EDMONSON,145
21063,ELLIOTT,50
21065,ESTILL,62
21067,FAYETTE,236
21069,FLEMING,140
21071,FLOYD,226
21073,FRANKLIN,224
21079,GARRARD,168
21081,GRANT,198
21083,GRAVES,384
21085,GRAYSON,150
21087,GREEN,54
21089,GREENUP,51
21091,HANCOCK,100
21093,HARDIN,431
21095,HARLAN,12
21097,HARRISON,246
21099,HART,303
21101,HENDERSON,137
21103,HENRY,157
21107,HOPKINS,67
21109,JACKSON,144
21111,JEFFERSON,58
21113,JESSAMINE,55
21115,JOHNSON,67
21117,KENTON,385
21121,KNOX,282
21123,LARUE,148
21125,LAUREL,142
21127,LAWRENCE,112
21129,LEE,63
21133,LETCHER,33
21135,LEWIS,22
21137,LINCOLN,219
21139,LIVINGSTON,54
21141,LOGAN,217
21143,LYON,3
21145,MCCRACKEN,121
21147,MCCREARY,88
21149,MCLEAN,175
21151,MADISON,280
21153,MAGOFFIN,449
21155,MARION,88
21157,MARSHALL,108
21161,MASON,129
21163,MEADE,180
21165,MENIFEE,75
21167,MERCER,240
21169,METCALFE,173
21171,MONROE,35
21173,MONTGOMERY,113
21175,MORGAN,119
21177,MUHLENBERG,81
21179,NELSON,268
21181,NICHOLAS,30
21183,OHIO,120
21185,OLDHAM,135
21187,OWEN,97
21189,OWSLEY,25
21191,PENDLETON,93
21193,PERRY,299
21195,PIKE,125
21197,POWELL,40
21199,PULASKI,158
21201,ROBERTSON,8
21203,ROCKCASTLE,143
21205,ROWAN,181
21207,RUSSELL,35
21209,SCOTT,133
21211,SHELBY,416
21213,SIMPSON,67
21215,SPENCER,47
21217,TAYLOR,65
21219,TODD,86
21221,TRIGG,135
21223,TRIMBLE,85
21227,WARREN,175
21229,WASHINGTON,135
21231,WAYNE,128
21233,WEBSTER,36
21235,WHITLEY,106
21237,WOLFE,12
21239,WOODFORD,560
