FIPS,COUNTY_NAME,VALUE
21001,ADAIR,604
21003,ALLEN,1560
21005,ANDERSON,401
21007,BALLARD,314
21009,BARREN,384
21011,BATH,477
21013,BELL,242
21015,BOONE,811
21017,BOURBON,1767
21019,BOYD,39
21021,BOYLE,972
21023,BRACKEN,168
21025,BREATHITT,49
21027,BRECKINRIDGE,2788
21029,BULLITT,152
21031,BUTLER,674
21033,CALDWELL,193
21035,CALLOWAY,533
21037,CAMPBELL,189
21039,CARLISLE,577
21041,CARROLL,142
21043,CARTER,427
21045,CASEY,980
21047,CHRISTIAN,525
21049,CLARK,1383
21051,CLAY,133
21055,CRITTENDEN,1710
21057,CUMBERLAND,78
21059,DAVIESS,854
21061,EDMONSON,369
21063,ELLIOTT,341
21065,ESTILL,62
21067,FAYETTE,916
21069,FLEMING,1359
21071,FLOYD,38
21073,FRANKLIN,693
21077,GALLATIN,118
21079,GARRARD,629
21081,GRANT,580
21083,GRAVES,868
21085,GRAYSON,1345
21087,GREEN,353
21089,GREENUP,148
21091,HANCOCK,357
21093,HARDIN,686
21097,HARRISON,1285
21099,HART,3682
21101,HENDERSON,136
21103,HENRY,1199
21105,HICKMAN,100
21107,HOPKINS,609
21109,JACKSON,336
21111,JEFFERSON,231
21113,JESSAMINE,131
21115,JOHNSON,114
21117,KENTON,281
21121,KNOX,304
21123,LARUE,386
21125,LAUREL,414
21127,LAWRENCE,134
21133,LETCHER,65
21135,LEWIS,668
21137,LINCOLN,1001
21139,LIVINGSTON,382
21141,LOGAN,1170
21143,LYON,72
21145,MCCRACKEN,603
21147,MCCREARY,180
21149,MCLEAN,548
21151,MADISON,581
21155,MARION,1060
21157,MARSHALL,438
21161,MASON,1279
21163,MEADE,856
21167,MERCER,2292
21169,METCALFE,188
21171,MONROE,70
21173,MONTGOMERY,514
21175,MORGAN,163
21177,MUHLENBERG,488
21179,NELSON,882
21181,NICHOLAS,473
21183,OHIO,1496
21185,OLDHAM,337
21187,OWEN,964
21189,OWSLEY,32
21191,PENDLETON,534
21193,PERRY,38
21199,PULASKI,2097
21201,ROBERTSON,355
21203,ROCKCASTLE,71
21205,ROWAN,336
21207,RUSSELL,237
21209,SCOTT,890
21211,SHELBY,2115
21213,SIMPSON,552
21215,SPENCER,277
21217,TAYLOR,751
21219,TODD,446
21221,TRIGG,541
21223,TRIMBLE,274
21225,UNION,206
21227,WARREN,1641
21229,WASHINGTON,1361
21231,WAYNE,1181
21233,WEBSTER,167
21235,WHITLEY,954
21239,WOODFORD,694
