FIPS,COUNTY_NAME,VALUE
21003,ALLEN,152
21005,ANDERSON,70
21007,BALLARD,18
21009,BARREN,39
21011,BATH,47
21015,BOONE,21
21017,BOURBON,116
21021,BOYLE,8
21023,BRACKEN,37
21027,BRECKINRIDGE,62
21029,BULLITT,26
21033,CALDWELL,276
21035,CALLOWAY,46
21037,CAMPBELL,68
21043,CARTER,43
21045,CASEY,72
21047,CHRISTIAN,54
21049,CLARK,52
21051,CLAY,7
21055,CRITTENDEN,32
21061,EDMONSON,83
21063,ELLIOTT,66
21065,ESTILL,36
21069,FLEMING,40
21071,FLOYD,8
21073,FRANKLIN,40
21077,GALLATIN,12
21079,GARRARD,23
21081,GRANT,68
21083,GRAVES,12
21085,GRAYSON,24
21087,GREEN,18
21089,GREENUP,21
21093,HARDIN,49
21099,HART,177
21101,HENDERSON,10
21103,HENRY,14
21107,HOPKINS,98
21109,JACKSON,112
21111,JEFFERSON,12
21113,JESSAMINE,3
21117,KENTON,3012
21123,LARUE,67
21125,LAUREL,22
21127,LAWRENCE,93
21133,LETCHER,42
21135,LEWIS,30
21137,LINCOLN,141
21141,LOGAN,19
21143,LYON,4
21151,MADISON,462
21155,MARION,6
21157,MARSHALL,40
21161,MASON,13
21163,MEADE,12
21165,MENIFEE,77
21167,MERCER,93
21177,MUHLENBERG,51
21179,NELSON,77
21181,NICHOLAS,62
21183,OHIO,35
21185,OLDHAM,250
21187,OWEN,63
21189,OWSLEY,26
21191,PENDLETON,32
21197,POWELL,22
21199,PULASKI,33
21201,ROBERTSON,8
21203,ROCKCASTLE,18
21209,SCOTT,140
21211,SHELBY,359
21213,SIMPSON,48
21215,SPENCER,25
21217,TAYLOR,9
21227,WARREN,34
21229,WASHINGTON,26
21231,WAYNE,12
21235,WHITLEY,14
21239,WOODFORD,21
