FIPS,COUNTY_NAME,VALUE
22003,ALLEN,7014
22005,ASCENSION,2659
22007,ASSUMPTION,373
22009,AVOYELLES,16295
22013,BIENVILLE,2621
22015,BOSSIER,7622
22017,CADDO,12935
22019,CALCASIEU,24739
22021,CALDWELL,2616
22023,CAMERON,14305
22025,CATAHOULA,4169
22027,CLAIBORNE,4709
22029,CONCORDIA,2305
22035,EAST CARROLL,262
22037,EAST FELICIANA,12626
22039,EVANGELINE,9877
22043,GRANT,3790
22045,IBERIA,2034
22047,IBERVILLE,4217
22049,JACKSON,2765
22051,JEFFERSON,573
22053,JEFFERSON DAVIS,12125
22057,LAFOURCHE,10180
22059,LA SALLE,2573
22061,LINCOLN,8142
22063,LIVINGSTON,3906
22065,MADISON,1392
22067,MOREHOUSE,6045
22069,NATCHITOCHES,23346
22073,OUACHITA,3922
22075,PLAQUEMINES,4333
22077,POINTE COUPEE,8654
22079,RAPIDES,14768
22081,RED RIVER,12129
22083,RICHLAND,10071
22085,SABINE,9765
22087,SAINT BERNARD,928
22091,SAINT HELENA,5422
22093,SAINT JAMES,187
22097,SAINT LANDRY,17011
22101,SAINT MARY,806
22103,SAINT TAMMANY,5036
22105,TANGIPAHOA,19604
22109,TERREBONNE,2974
22111,UNION,13321
22113,VERMILION,24250
22115,VERNON,5296
22117,WASHINGTON,10539
22119,WEBSTER,4391
22121,WEST BATON ROUGE,1067
22123,WEST CARROLL,6994
22127,WINN,3222
