FIPS,COUNTY_NAME,VALUE
22001,ACADIA,10759
22003,ALLEN,11689
22005,ASCENSION,4783
22007,ASSUMPTION,626
22009,AVOYELLES,26192
22011,BEAUREGARD,24875
22013,BIENVILLE,4025
22015,BOSSIER,13825
22017,CADDO,22490
22019,CALCASIEU,38885
22021,CALDWELL,4621
22023,CAMERON,22386
22025,CATAHOULA,6367
22027,CLAIBORNE,9105
22029,CONCORDIA,4221
22031,DE SOTO,34313
22033,EAST BATON ROUGE,13501
22035,EAST CARROLL,499
22037,EAST FELICIANA,20122
22039,EVANGELINE,15006
22041,FRANKLIN,21374
22043,GRANT,6227
22045,IBERIA,3693
22047,IBERVILLE,6622
22049,JACKSON,4690
22051,JEFFERSON,782
22053,JEFFERSON DAVIS,18922
22055,LAFAYETTE,5826
22057,LAFOURCHE,15512
22059,LA SALLE,4406
22061,LINCOLN,14945
22063,LIVINGSTON,5467
22065,MADISON,2363
22067,MOREHOUSE,11775
22069,NATCHITOCHES,39472
22073,OUACHITA,7158
22075,PLAQUEMINES,7196
22077,POINTE COUPEE,15003
22079,RAPIDES,25210
22081,RED RIVER,24075
22083,RICHLAND,19597
22085,SABINE,18919
22087,SAINT BERNARD,1516
22089,SAINT CHARLES,3223
22091,SAINT HELENA,9515
22093,SAINT JAMES,285
22097,SAINT LANDRY,27031
22099,SAINT MARTIN,2744
22101,SAINT MARY,1023
22103,SAINT TAMMANY,7633
22105,TANGIPAHOA,38798
22107,TENSAS,900
22109,TERREBONNE,5719
22111,UNION,22494
22113,VERMILION,35992
22115,VERNON,8374
22117,WASHINGTON,24984
22119,WEBSTER,7628
22121,WEST BATON ROUGE,1654
22123,WEST CARROLL,11579
22125,WEST FELICIANA,17249
22127,WINN,5161
