FIPS,COUNTY_NAME,VALUE
22001,ACADIA,89
22009,AVOYELLES,164
22011,BEAUREGARD,617
22013,BIENVILLE,21176
22015,BOSSIER,46
22017,CADDO,348
22019,CALCASIEU,155
22021,CALDWELL,42
22025,CATAHOULA,5
22033,EAST BATON ROUGE,359
22035,EAST CARROLL,20
22037,EAST FELICIANA,40
22039,EVANGELINE,12
22041,FRANKLIN,127
22045,IBERIA,72
22047,IBERVILLE,9
22053,JEFFERSON DAVIS,185
22055,LAFAYETTE,114
22057,LAFOURCHE,62
22059,LA SALLE,97
22063,LIVINGSTON,96
22067,MOREHOUSE,25
22077,POINTE COUPEE,27
22079,RAPIDES,348
22083,RICHLAND,13
22085,SABINE,48
22091,SAINT HELENA,26
22093,SAINT JAMES,45
22097,SAINT LANDRY,87
22099,SAINT MARTIN,28
22101,SAINT MARY,3
22103,SAINT TAMMANY,205
22105,TANGIPAHOA,167
22111,UNION,9558
22113,VERMILION,6
22115,VERNON,184
22117,WASHINGTON,1221
22119,WEBSTER,6177
22123,WEST CARROLL,16
22127,WINN,22562
