FIPS,COUNTY_NAME,VALUE
22001,ACADIA,1026
22003,ALLEN,511
22005,ASCENSION,377
22007,ASSUMPTION,33
22009,AVOYELLES,468
22011,BEAUREGARD,1230
22013,BIENVILLE,460
22015,BOSSIER,1668
22017,CADDO,1336
22019,CALCASIEU,2223
22021,CALDWELL,711
22023,CAMERON,630
22025,CATAHOULA,555
22027,CLAIBORNE,375
22029,CONCORDIA,248
22031,DE SOTO,1151
22033,EAST BATON ROUGE,956
22035,EAST CARROLL,92
22037,EAST FELICIANA,677
22039,EVANGELINE,844
22041,FRANKLIN,689
22043,GRANT,312
22045,IBERIA,525
22047,IBERVILLE,269
22049,JACKSON,384
22051,JEFFERSON,156
22053,JEFFERSON DAVIS,777
22055,LAFAYETTE,1260
22057,LAFOURCHE,456
22059,LA SALLE,399
22061,LINCOLN,879
22063,LIVINGSTON,765
22065,MADISON,37
22067,MOREHOUSE,520
22069,NATCHITOCHES,773
22071,ORLEANS,25
22073,OUACHITA,1017
22075,PLAQUEMINES,29
22077,POINTE COUPEE,509
22079,RAPIDES,1340
22081,RED RIVER,644
22083,RICHLAND,387
22085,SABINE,688
22087,SAINT BERNARD,32
22089,SAINT CHARLES,86
22091,SAINT HELENA,424
22093,SAINT JAMES,86
22097,SAINT LANDRY,1885
22099,SAINT MARTIN,399
22101,SAINT MARY,87
22103,SAINT TAMMANY,3526
22105,TANGIPAHOA,1473
22107,TENSAS,86
22109,TERREBONNE,455
22111,UNION,580
22113,VERMILION,1407
22115,VERNON,677
22117,WASHINGTON,1011
22119,WEBSTER,1351
22121,WEST BATON ROUGE,452
22123,WEST CARROLL,547
22125,WEST FELICIANA,298
22127,WINN,413
