FIPS,COUNTY_NAME,VALUE
22001,ACADIA,73
22003,ALLEN,481
22007,ASSUMPTION,90
22011,BEAUREGARD,365
22015,BOSSIER,225
22017,CADDO,91
22019,CALCASIEU,856
22027,CLAIBORNE,124
22029,CONCORDIA,26
22031,DE SOTO,319
22033,EAST BATON ROUGE,776
22039,EVANGELINE,182
22043,GRANT,136
22045,IBERIA,139
22047,IBERVILLE,26
22049,JACKSON,69
22053,JEFFERSON DAVIS,220
22055,LAFAYETTE,186
22057,LAFOURCHE,124
22059,LA SALLE,263
22061,LINCOLN,174
22063,LIVINGSTON,631
22067,MOREHOUSE,103
22069,NATCHITOCHES,314
22073,OUACHITA,439
22075,PLAQUEMINES,104
22077,POINTE COUPEE,219
22079,RAPIDES,485
22083,RICHLAND,416
22085,SABINE,455
22087,SAINT BERNARD,8
22091,SAINT HELENA,194
22097,SAINT LANDRY,656
22099,SAINT MARTIN,278
22101,SAINT MARY,42
22103,SAINT TAMMANY,1094
22105,TANGIPAHOA,985
22109,TERREBONNE,62
22111,UNION,353
22115,VERNON,467
22117,WASHINGTON,513
22119,WEBSTER,285
22121,WEST BATON ROUGE,229
22123,WEST CARROLL,55
22125,WEST FELICIANA,34
