FIPS,COUNTY_NAME,VALUE
22001,ACADIA,62
22003,ALLEN,39
22011,BEAUREGARD,66
22015,BOSSIER,89
22017,CADDO,170
22019,CALCASIEU,224
22027,CLAIBORNE,62
22029,CONCORDIA,3
22031,DE SOTO,42
22033,EAST BATON ROUGE,81
22039,EVANGELINE,78
22045,IBERIA,9
22047,IBERVILLE,16
22049,JACKSON,30
22051,JEFFERSON,12
22053,JEFFERSON DAVIS,50
22055,LAFAYETTE,51
22057,LAFOURCHE,221
22059,LA SALLE,18
22061,LINCOLN,18
22063,LIVINGSTON,157
22069,NATCHITOCHES,30
22077,POINTE COUPEE,57
22079,RAPIDES,100
22085,SABINE,15
22091,SAINT HELENA,24
22093,SAINT JAMES,42
22097,SAINT LANDRY,301
22099,SAINT MARTIN,137
22103,SAINT TAMMANY,372
22105,TANGIPAHOA,141
22109,TERREBONNE,12
22111,UNION,134
22115,VERNON,31
22119,WEBSTER,111
22125,WEST FELICIANA,120
