FIPS,COUNTY_NAME,VALUE
22001,ACADIA,141
22003,ALLEN,520
22005,ASCENSION,161
22007,ASSUMPTION,90
22009,AVOYELLES,236
22011,BEAUREGARD,431
22013,BIENVILLE,146
22015,BOSSIER,314
22017,CADDO,277
22019,CALCASIEU,1080
22021,CALDWELL,70
22023,CAMERON,97
22025,CATAHOULA,209
22027,CLAIBORNE,186
22029,CONCORDIA,29
22031,DE SOTO,361
22033,EAST BATON ROUGE,857
22037,EAST FELICIANA,80
22039,EVANGELINE,260
22041,FRANKLIN,35
22043,GRANT,136
22045,IBERIA,148
22047,IBERVILLE,42
22049,JACKSON,99
22051,JEFFERSON,12
22053,JEFFERSON DAVIS,282
22055,LAFAYETTE,247
22057,LAFOURCHE,345
22059,LA SALLE,281
22061,LINCOLN,192
22063,LIVINGSTON,788
22067,MOREHOUSE,103
22069,NATCHITOCHES,368
22073,OUACHITA,439
22075,PLAQUEMINES,104
22077,POINTE COUPEE,276
22079,RAPIDES,637
22081,RED RIVER,114
22083,RICHLAND,416
22085,SABINE,470
22087,SAINT BERNARD,8
22091,SAINT HELENA,254
22093,SAINT JAMES,42
22097,SAINT LANDRY,971
22099,SAINT MARTIN,433
22101,SAINT MARY,110
22103,SAINT TAMMANY,1490
22105,TANGIPAHOA,1164
22109,TERREBONNE,74
22111,UNION,487
22113,VERMILION,387
22115,VERNON,505
22117,WASHINGTON,654
22119,WEBSTER,396
22121,WEST BATON ROUGE,229
22123,WEST CARROLL,55
22125,WEST FELICIANA,154
22127,WINN,220
