FIPS,COUNTY_NAME,VALUE
26011,ARENAC,12
26015,BARRY,181
26017,BAY,33
26019,BENZIE,100
26021,BERRIEN,39
26031,CHEBOYGAN,28
26037,CLINTON,117
26039,CRAWFORD,3
26043,DICKINSON,72
26045,EATON,36
26047,EMMET,16
26049,GENESEE,145
26055,GRAND TRAVERSE,32
26059,HILLSDALE,6
26065,INGHAM,224
26073,ISABELLA,30
26077,KALAMAZOO,87
26087,LAPEER,75
26089,LEELANAU,59
26093,LIVINGSTON,184
26095,LUCE,6
26103,MARQUETTE,26
26107,MECOSTA,35
26117,MONTCALM,164
26123,NEWAYGO,29
26125,OAKLAND,180
26133,OSCEOLA,184
26139,OTTAWA,109
26141,PRESQUE ISLE,15
26145,SAGINAW,24
26147,ST CLAIR,76
26151,SANILAC,49
26155,SHIAWASSEE,43
26157,TUSCOLA,55
26159,VAN BUREN,115
26161,WASHTENAW,20
26163,WAYNE,15
26165,WEXFORD,27
