FIPS,COUNTY_NAME,VALUE
26001,ALCONA,1408
26003,ALGER,1173
26005,ALLEGAN,32309
26007,ALPENA,2756
26009,ANTRIM,2166
26011,ARENAC,3744
26013,BARAGA,1020
26015,BARRY,21192
26017,BAY,3469
26019,BENZIE,884
26021,BERRIEN,1855
26023,BRANCH,8690
26025,CALHOUN,10126
26027,CASS,2650
26029,CHARLEVOIX,1113
26031,CHEBOYGAN,1242
26033,CHIPPEWA,3003
26035,CLARE,7672
26037,CLINTON,31071
26039,CRAWFORD,60
26041,DELTA,3677
26043,DICKINSON,869
26045,EATON,4285
26047,EMMET,1416
26049,GENESEE,2681
26051,GLADWIN,2770
26053,GOGEBIC,122
26055,GRAND TRAVERSE,1726
26057,GRATIOT,26973
26059,HILLSDALE,17747
26061,HOUGHTON,710
26063,HURON,86831
26065,INGHAM,8065
26067,IONIA,27384
26069,IOSCO,3318
26071,IRON,401
26073,ISABELLA,16077
26075,JACKSON,6747
26077,KALAMAZOO,7984
26079,KALKASKA,635
26081,KENT,12549
26085,LAKE,983
26087,LAPEER,9169
26089,LEELANAU,865
26091,LENAWEE,19326
26093,LIVINGSTON,3140
26095,LUCE,300
26097,MACKINAC,2094
26099,MACOMB,3194
26101,MANISTEE,625
26103,MARQUETTE,605
26105,MASON,6502
26107,MECOSTA,7882
26109,MENOMINEE,7750
26111,MIDLAND,2309
26113,MISSAUKEE,21887
26115,MONROE,2482
26117,MONTCALM,10247
26119,MONTMORENCY,1668
26121,MUSKEGON,3690
26123,NEWAYGO,16472
26125,OAKLAND,353
26127,OCEANA,3659
26129,OGEMAW,7839
26131,ONTONAGON,588
26133,OSCEOLA,8325
26135,OSCODA,1387
26137,OTSEGO,514
26139,OTTAWA,34459
26141,PRESQUE ISLE,1820
26143,ROSCOMMON,244
26145,SAGINAW,4698
26147,ST CLAIR,4496
26149,ST JOSEPH,5672
26151,SANILAC,50984
26153,SCHOOLCRAFT,528
26155,SHIAWASSEE,10607
26157,TUSCOLA,13976
26159,VAN BUREN,4109
26161,WASHTENAW,7808
26163,WAYNE,55
26165,WEXFORD,1948
