FIPS,COUNTY_NAME,VALUE
26001,ALCONA,1177
26003,ALGER,488
26005,ALLEGAN,26730
26007,ALPENA,4251
26011,ARENAC,3448
26015,BARRY,16480
26017,BAY,2961
26021,BERRIEN,1112
26023,BRANCH,3240
26025,CALHOUN,4978
26027,CASS,734
26029,CHARLEVOIX,516
26031,CHEBOYGAN,644
26033,CHIPPEWA,636
26035,CLARE,2960
26037,CLINTON,31288
26041,DELTA,753
26043,DICKINSON,424
26045,EATON,1368
26047,EMMET,247
26049,GENESEE,1098
26051,GLADWIN,1125
26055,GRAND TRAVERSE,98
26057,GRATIOT,24675
26059,HILLSDALE,10080
26061,HOUGHTON,618
26063,HURON,50274
26065,INGHAM,8501
26067,IONIA,16360
26069,IOSCO,2016
26073,ISABELLA,10673
26075,JACKSON,3980
26077,KALAMAZOO,8405
26079,KALKASKA,44
26081,KENT,8952
26085,LAKE,375
26087,LAPEER,2468
26089,LEELANAU,186
26091,LENAWEE,14751
26093,LIVINGSTON,1990
26097,MACKINAC,1077
26099,MACOMB,698
26101,MANISTEE,58
26103,MARQUETTE,303
26105,MASON,3526
26107,MECOSTA,4010
26109,MENOMINEE,6883
26113,MISSAUKEE,25582
26115,MONROE,306
26117,MONTCALM,9080
26119,MONTMORENCY,1058
26121,MUSKEGON,5311
26123,NEWAYGO,13167
26127,OCEANA,2301
26129,OGEMAW,7916
26133,OSCEOLA,6389
26135,OSCODA,744
26139,OTTAWA,15058
26141,PRESQUE ISLE,1021
26145,SAGINAW,2749
26147,ST CLAIR,1311
26149,ST JOSEPH,4964
26151,SANILAC,26557
26155,SHIAWASSEE,6711
26157,TUSCOLA,9564
26159,VAN BUREN,5992
26161,WASHTENAW,2334
26163,WAYNE,9
26165,WEXFORD,1217
