FIPS,COUNTY_NAME,VALUE
26005,ALLEGAN,5302
26009,ANTRIM,781
26011,ARENAC,792
26015,BARRY,3536
26017,BAY,319
26019,BENZIE,646
26021,BERRIEN,533
26023,BRANCH,1224
26025,CALHOUN,2906
26027,CASS,523
26029,CHARLEVOIX,140
26033,CHIPPEWA,245
26035,CLARE,2022
26037,CLINTON,2734
26041,DELTA,367
26045,EATON,960
26047,EMMET,72
26049,GENESEE,641
26051,GLADWIN,153
26055,GRAND TRAVERSE,570
26057,GRATIOT,5861
26059,HILLSDALE,3444
26063,HURON,51247
26065,INGHAM,2022
26067,IONIA,4919
26073,ISABELLA,6347
26075,JACKSON,2545
26077,KALAMAZOO,297
26081,KENT,3444
26087,LAPEER,5201
26089,LEELANAU,422
26091,LENAWEE,3127
26093,LIVINGSTON,198
26105,MASON,261
26107,MECOSTA,708
26109,MENOMINEE,545
26111,MIDLAND,604
26113,MISSAUKEE,365
26115,MONROE,1257
26117,MONTCALM,1233
26121,MUSKEGON,1035
26123,NEWAYGO,3534
26127,OCEANA,994
26129,OGEMAW,907
26133,OSCEOLA,480
26139,OTTAWA,9497
26145,SAGINAW,2038
26147,ST CLAIR,1286
26149,ST JOSEPH,498
26151,SANILAC,8229
26155,SHIAWASSEE,1051
26157,TUSCOLA,2876
26159,VAN BUREN,187
26161,WASHTENAW,3910
26165,WEXFORD,726
