FIPS,COUNTY_NAME,VALUE
26001,ALCONA,110
26003,ALGER,1560
26005,ALLEGAN,262252
26007,ALPENA,1604
26009,ANTRIM,466
26011,ARENAC,314
26013,BARAGA,125
26015,BARRY,1298
26017,BAY,830
26019,BENZIE,204
26021,BERRIEN,401
26025,CALHOUN,796
26027,CASS,19502
26029,CHARLEVOIX,739
26031,CHEBOYGAN,412
26033,CHIPPEWA,617
26035,CLARE,567
26037,CLINTON,634
26039,CRAWFORD,114
26041,DELTA,365
26043,DICKINSON,90
26045,EATON,1929
26047,EMMET,1785
26049,GENESEE,4349
26051,GLADWIN,1201
26055,GRAND TRAVERSE,249
26057,GRATIOT,2450
26059,HILLSDALE,556
26063,HURON,1719
26065,INGHAM,2088
26067,IONIA,405
26071,IRON,57
26073,ISABELLA,576
26075,JACKSON,393
26077,KALAMAZOO,1171
26079,KALKASKA,1308
26081,KENT,479
26087,LAPEER,5053
26089,LEELANAU,42
26091,LENAWEE,1317
26093,LIVINGSTON,1738
26095,LUCE,636
26101,MANISTEE,655
26103,MARQUETTE,724
26105,MASON,610
26107,MECOSTA,7314
26109,MENOMINEE,317
26111,MIDLAND,120
26113,MISSAUKEE,1223
26115,MONROE,1880
26117,MONTCALM,772
26119,MONTMORENCY,105
26121,MUSKEGON,1494
26123,NEWAYGO,1871
26125,OAKLAND,329
26127,OCEANA,486
26129,OGEMAW,102
26133,OSCEOLA,216
26135,OSCODA,846
26137,OTSEGO,160
26141,PRESQUE ISLE,627
26145,SAGINAW,338
26149,ST JOSEPH,972127
26151,SANILAC,3327
26155,SHIAWASSEE,3672
26157,TUSCOLA,851
26159,VAN BUREN,1150
26161,WASHTENAW,4783
26163,WAYNE,660
26165,WEXFORD,189
