FIPS,COUNTY_NAME,VALUE
26001,ALCONA,221
26003,ALGER,133
26005,ALLEGAN,1996933
26007,ALPENA,56
26009,ANTRIM,15
26011,ARENAC,66
26013,BARAGA,490
26015,BARRY,443
26017,BAY,27
26021,BERRIEN,310
26023,BRANCH,1164
26025,CALHOUN,499
26027,CASS,3935
26029,CHARLEVOIX,362
26031,CHEBOYGAN,393
26033,CHIPPEWA,334
26035,CLARE,168
26037,CLINTON,173
26039,CRAWFORD,58
26041,DELTA,233
26043,DICKINSON,150
26045,EATON,918
26047,EMMET,1542
26049,GENESEE,780
26051,GLADWIN,596
26053,GOGEBIC,36
26055,GRAND TRAVERSE,390
26059,HILLSDALE,90
26061,HOUGHTON,120
26065,INGHAM,637
26071,IRON,48
26073,ISABELLA,102
26075,JACKSON,2159
26077,KALAMAZOO,352
26079,KALKASKA,81
26081,KENT,568
26087,LAPEER,365
26089,LEELANAU,198
26091,LENAWEE,1059
26093,LIVINGSTON,493
26095,LUCE,160
26099,MACOMB,374
26101,MANISTEE,668
26103,MARQUETTE,74
26105,MASON,170
26107,MECOSTA,8935
26109,MENOMINEE,476
26111,MIDLAND,320
26113,MISSAUKEE,3727
26115,MONROE,519
26117,MONTCALM,296
26121,MUSKEGON,410
26123,NEWAYGO,130
26125,OAKLAND,404
26127,OCEANA,282
26129,OGEMAW,726
26131,ONTONAGON,25
26133,OSCEOLA,97
26135,OSCODA,100
26137,OTSEGO,56
26141,PRESQUE ISLE,43
26145,SAGINAW,315
26147,ST CLAIR,294
26149,ST JOSEPH,731
26151,SANILAC,602
26155,SHIAWASSEE,522
26159,VAN BUREN,2229
26161,WASHTENAW,684
26163,WAYNE,212
26165,WEXFORD,214
