FIPS,COUNTY_NAME,VALUE
26001,ALCONA,386
26003,ALGER,122
26005,ALLEGAN,1587
26007,ALPENA,402
26009,ANTRIM,328
26011,ARENAC,75
26013,BARAGA,34
26015,BARRY,1479
26017,BAY,511
26019,BENZIE,138
26021,BERRIEN,821
26023,BRANCH,1036
26025,CALHOUN,1386
26027,CASS,732
26029,CHARLEVOIX,397
26031,CHEBOYGAN,520
26033,CHIPPEWA,933
26035,CLARE,1094
26037,CLINTON,937
26039,CRAWFORD,194
26041,DELTA,128
26043,DICKINSON,167
26045,EATON,1125
26047,EMMET,350
26049,GENESEE,1450
26051,GLADWIN,755
26053,GOGEBIC,19
26055,GRAND TRAVERSE,745
26057,GRATIOT,420
26059,HILLSDALE,1538
26061,HOUGHTON,224
26063,HURON,367
26065,INGHAM,1688
26067,IONIA,1052
26069,IOSCO,460
26071,IRON,94
26073,ISABELLA,905
26075,JACKSON,1265
26077,KALAMAZOO,1794
26079,KALKASKA,234
26081,KENT,1665
26083,KEWEENAW,15
26085,LAKE,419
26087,LAPEER,1964
26089,LEELANAU,627
26091,LENAWEE,1179
26093,LIVINGSTON,1626
26095,LUCE,14
26097,MACKINAC,194
26099,MACOMB,804
26101,MANISTEE,233
26103,MARQUETTE,343
26105,MASON,530
26107,MECOSTA,1393
26109,MENOMINEE,399
26111,MIDLAND,582
26113,MISSAUKEE,649
26115,MONROE,1351
26117,MONTCALM,1220
26119,MONTMORENCY,136
26121,MUSKEGON,628
26123,NEWAYGO,1442
26125,OAKLAND,2090
26127,OCEANA,867
26129,OGEMAW,259
26131,ONTONAGON,128
26133,OSCEOLA,745
26135,OSCODA,478
26137,OTSEGO,191
26139,OTTAWA,1443
26141,PRESQUE ISLE,191
26143,ROSCOMMON,69
26145,SAGINAW,762
26147,ST CLAIR,1477
26149,ST JOSEPH,1886
26151,SANILAC,1373
26153,SCHOOLCRAFT,58
26155,SHIAWASSEE,1226
26157,TUSCOLA,1114
26159,VAN BUREN,830
26161,WASHTENAW,2425
26163,WAYNE,845
26165,WEXFORD,438
