FIPS,COUNTY_NAME,VALUE
26005,ALLEGAN,424
26007,ALPENA,128
26009,ANTRIM,36
26019,BENZIE,12
26021,BERRIEN,159
26025,CALHOUN,336
26027,CASS,193
26029,CHARLEVOIX,12
26033,CHIPPEWA,187
26035,CLARE,62
26037,CLINTON,130
26039,CRAWFORD,30
26041,DELTA,72
26043,DICKINSON,14
26047,EMMET,133
26051,GLADWIN,99
26057,GRATIOT,121
26059,HILLSDALE,370
26061,HOUGHTON,43
26063,HURON,56
26065,INGHAM,469
26067,IONIA,276
26071,IRON,82
26073,ISABELLA,206
26077,KALAMAZOO,538
26079,KALKASKA,34
26085,LAKE,10
26087,LAPEER,252
26089,LEELANAU,374
26091,LENAWEE,165
26093,LIVINGSTON,379
26095,LUCE,6
26099,MACOMB,117
26105,MASON,106
26109,MENOMINEE,16
26111,MIDLAND,54
26113,MISSAUKEE,224
26115,MONROE,455
26117,MONTCALM,93
26121,MUSKEGON,183
26125,OAKLAND,157
26127,OCEANA,215
26129,OGEMAW,24
26133,OSCEOLA,37
26139,OTTAWA,591
26141,PRESQUE ISLE,20
26143,ROSCOMMON,30
26145,SAGINAW,23
26147,ST CLAIR,254
26149,ST JOSEPH,100
26151,SANILAC,223
26155,SHIAWASSEE,607
26157,TUSCOLA,138
26159,VAN BUREN,583
26161,WASHTENAW,296
26163,WAYNE,166
26165,WEXFORD,26
