FIPS,COUNTY_NAME,VALUE
26001,ALCONA,8
26003,ALGER,75
26005,ALLEGAN,1322
26007,ALPENA,147
26009,ANTRIM,57
26015,BARRY,854
26017,BAY,131
26019,BENZIE,64
26021,BERRIEN,857
26023,BRANCH,520
26025,CALHOUN,1045
26027,CASS,414
26029,CHARLEVOIX,139
26031,CHEBOYGAN,274
26033,CHIPPEWA,426
26035,CLARE,164
26037,CLINTON,468
26039,CRAWFORD,45
26041,DELTA,72
26043,DICKINSON,96
26045,EATON,321
26047,EMMET,423
26049,GENESEE,339
26051,GLADWIN,449
26055,GRAND TRAVERSE,183
26057,GRATIOT,243
26059,HILLSDALE,758
26061,HOUGHTON,157
26063,HURON,264
26065,INGHAM,821
26067,IONIA,563
26069,IOSCO,134
26071,IRON,88
26073,ISABELLA,521
26075,JACKSON,854
26077,KALAMAZOO,983
26079,KALKASKA,46
26081,KENT,397
26085,LAKE,96
26087,LAPEER,887
26089,LEELANAU,428
26091,LENAWEE,457
26093,LIVINGSTON,583
26095,LUCE,39
26099,MACOMB,178
26101,MANISTEE,254
26103,MARQUETTE,18
26105,MASON,191
26107,MECOSTA,302
26109,MENOMINEE,39
26111,MIDLAND,201
26113,MISSAUKEE,379
26115,MONROE,869
26117,MONTCALM,479
26119,MONTMORENCY,34
26121,MUSKEGON,324
26123,NEWAYGO,1344
26125,OAKLAND,255
26127,OCEANA,358
26129,OGEMAW,129
26133,OSCEOLA,491
26135,OSCODA,77
26137,OTSEGO,34
26139,OTTAWA,1054
26141,PRESQUE ISLE,38
26143,ROSCOMMON,30
26145,SAGINAW,291
26147,ST CLAIR,501
26149,ST JOSEPH,301
26151,SANILAC,485
26155,SHIAWASSEE,951
26157,TUSCOLA,206
26159,VAN BUREN,863
26161,WASHTENAW,766
26163,WAYNE,324
26165,WEXFORD,212
