FIPS,COUNTY_NAME,VALUE
26003,ALGER,251
26005,ALLEGAN,206926
26007,ALPENA,66
26009,ANTRIM,215
26011,ARENAC,132
26013,BARAGA,13
26017,BAY,281
26019,BENZIE,19
26021,BERRIEN,18511
26023,BRANCH,61989
26025,CALHOUN,65981
26027,CASS,142046
26029,CHARLEVOIX,160
26031,CHEBOYGAN,144
26033,CHIPPEWA,185
26035,CLARE,103
26037,CLINTON,5412
26039,CRAWFORD,51
26041,DELTA,34
26043,DICKINSON,141
26045,EATON,376
26047,EMMET,84
26049,GENESEE,112
26051,GLADWIN,483
26053,GOGEBIC,95
26057,GRATIOT,46355
26059,HILLSDALE,32192
26061,HOUGHTON,71
26063,HURON,35761
26065,INGHAM,2316
26067,IONIA,89222
26069,IOSCO,13
26071,IRON,59
26073,ISABELLA,2838
26075,JACKSON,5416
26077,KALAMAZOO,94417
26079,KALKASKA,209
26085,LAKE,29
26087,LAPEER,1329
26089,LEELANAU,181
26091,LENAWEE,14720
26093,LIVINGSTON,1225
26095,LUCE,96
26101,MANISTEE,59
26103,MARQUETTE,92
26107,MECOSTA,99041
26109,MENOMINEE,105
26111,MIDLAND,3069
26113,MISSAUKEE,109
26115,MONROE,409
26117,MONTCALM,18429
26119,MONTMORENCY,213
26121,MUSKEGON,7757
26123,NEWAYGO,9617
26125,OAKLAND,216
26129,OGEMAW,60
26133,OSCEOLA,202
26135,OSCODA,109
26137,OTSEGO,79
26139,OTTAWA,61455
26141,PRESQUE ISLE,78
26145,SAGINAW,9879
26147,ST CLAIR,109
26149,ST JOSEPH,61848
26151,SANILAC,6229
26155,SHIAWASSEE,316
26157,TUSCOLA,34264
26159,VAN BUREN,10509
26161,WASHTENAW,1785
26163,WAYNE,103
26165,WEXFORD,134
