FIPS,COUNTY_NAME,VALUE
26005,ALLEGAN,192
26013,BARAGA,15
26015,BARRY,25
26017,BAY,6
26021,BERRIEN,10
26023,BRANCH,43
26025,CALHOUN,49
26029,CHARLEVOIX,29
26037,CLINTON,26
26045,EATON,33
26055,GRAND TRAVERSE,12
26061,HOUGHTON,24
26065,INGHAM,36
26067,IONIA,20
26069,IOSCO,34
26073,ISABELLA,63
26075,JACKSON,78
26077,KALAMAZOO,10
26081,KENT,13
26085,LAKE,21
26087,LAPEER,38
26093,LIVINGSTON,73
26101,MANISTEE,12
26105,MASON,5
26115,MONROE,37
26117,MONTCALM,12
26121,MUSKEGON,152
26123,NEWAYGO,40
26133,OSCEOLA,5
26139,OTTAWA,101
26147,ST CLAIR,46
26157,TUSCOLA,42
26159,VAN BUREN,48
26161,WASHTENAW,40
