FIPS,COUNTY_NAME,VALUE
26001,ALCONA,42
26003,ALGER,35
26005,ALLEGAN,312229
26007,ALPENA,65
26011,ARENAC,24
26013,BARAGA,300
26017,BAY,117
26021,BERRIEN,62
26023,BRANCH,166
26025,CALHOUN,143
26027,CASS,419
26029,CHARLEVOIX,46
26031,CHEBOYGAN,92
26033,CHIPPEWA,74
26035,CLARE,26
26037,CLINTON,48
26039,CRAWFORD,14
26045,EATON,186
26049,GENESEE,417
26051,GLADWIN,82
26059,HILLSDALE,126
26061,HOUGHTON,39
26063,HURON,81
26065,INGHAM,552
26067,IONIA,57
26069,IOSCO,53
26075,JACKSON,127
26077,KALAMAZOO,122
26079,KALKASKA,34
26081,KENT,67772
26085,LAKE,32
26087,LAPEER,273
26089,LEELANAU,379
26091,LENAWEE,98
26093,LIVINGSTON,414
26097,MACKINAC,28
26099,MACOMB,25
26101,MANISTEE,37
26103,MARQUETTE,143
26105,MASON,468
26107,MECOSTA,704
26109,MENOMINEE,983
26111,MIDLAND,80
26113,MISSAUKEE,154
26115,MONROE,308
26117,MONTCALM,233
26121,MUSKEGON,287
26123,NEWAYGO,162
26125,OAKLAND,174
26129,OGEMAW,38
26133,OSCEOLA,375
26135,OSCODA,37
26137,OTSEGO,13
26139,OTTAWA,1641912
26141,PRESQUE ISLE,208
26145,SAGINAW,214
26147,ST CLAIR,265
26149,ST JOSEPH,167
26151,SANILAC,1012
26155,SHIAWASSEE,482
26157,TUSCOLA,486
26159,VAN BUREN,208
26161,WASHTENAW,1144
26165,WEXFORD,141
