FIPS,COUNTY_NAME,VALUE
27001,AITKIN,4258
27005,BECKER,14212
27007,BELTRAMI,6567
27009,BENTON,18955
27011,BIG STONE,10710
27013,BLUE EARTH,10437
27015,BROWN,33652
27017,CARLTON,4078
27019,CARVER,12524
27021,CASS,11068
27023,CHIPPEWA,12946
27025,CHISAGO,5852
27027,CLAY,4868
27029,CLEARWATER,7164
27033,COTTONWOOD,28973
27035,CROW WING,3150
27037,DAKOTA,17257
27039,DODGE,9771
27041,DOUGLAS,12457
27043,FARIBAULT,10422
27045,FILLMORE,32177
27047,FREEBORN,14254
27049,GOODHUE,43935
27051,GRANT,5023
27053,HENNEPIN,3485
27055,HOUSTON,26610
27057,HUBBARD,3282
27059,ISANTI,3976
27061,ITASCA,1960
27063,JACKSON,12649
27065,KANABEC,6250
27067,KANDIYOHI,28983
27069,KITTSON,5286
27071,KOOCHICHING,1588
27073,LAC QUI PARLE,9438
27075,LAKE,60
27079,LE SUEUR,9053
27081,LINCOLN,15304
27083,LYON,49918
27085,MCLEOD,17169
27087,MAHNOMEN,2932
27089,MARSHALL,4895
27091,MARTIN,18946
27093,MEEKER,19793
27095,MILLE LACS,11782
27097,MORRISON,44548
27099,MOWER,23328
27101,MURRAY,44312
27103,NICOLLET,13865
27105,NOBLES,80763
27107,NORMAN,1942
27109,OLMSTED,25572
27111,OTTER TAIL,45796
27113,PENNINGTON,4205
27115,PINE,10174
27117,PIPESTONE,43621
27119,POLK,6368
27121,POPE,17626
27125,RED LAKE,3258
27127,REDWOOD,40624
27129,RENVILLE,21165
27131,RICE,11635
27133,ROCK,84242
27135,ROSEAU,7542
27137,ST. LOUIS,4653
27139,SCOTT,10195
27141,SHERBURNE,7443
27143,SIBLEY,23549
27145,STEARNS,120494
27147,STEELE,7408
27149,STEVENS,29889
27151,SWIFT,15808
27153,TODD,29860
27157,WABASHA,30468
27159,WADENA,6005
27161,WASECA,10104
27163,WASHINGTON,2692
27165,WATONWAN,2339
27167,WILKIN,1236
27169,WINONA,37885
27171,WRIGHT,22397
27173,YELLOW MEDICINE,22979
