FIPS,COUNTY_NAME,VALUE
27001,AITKIN,4357
27005,BECKER,12433
27007,BELTRAMI,9884
27009,BENTON,14417
27011,BIG STONE,2563
27013,BLUE EARTH,1723
27015,BROWN,8420
27017,CARLTON,5879
27019,CARVER,9583
27021,CASS,9829
27023,CHIPPEWA,9667
27025,CHISAGO,4164
27027,CLAY,5106
27029,CLEARWATER,9286
27033,COTTONWOOD,3180
27035,CROW WING,4203
27037,DAKOTA,5492
27039,DODGE,6467
27041,DOUGLAS,7486
27043,FARIBAULT,3235
27045,FILLMORE,27169
27047,FREEBORN,3916
27049,GOODHUE,26528
27051,GRANT,9536
27053,HENNEPIN,1946
27055,HOUSTON,17038
27057,HUBBARD,3559
27059,ISANTI,3674
27061,ITASCA,2598
27063,JACKSON,3406
27065,KANABEC,5474
27067,KANDIYOHI,17866
27069,KITTSON,5625
27071,KOOCHICHING,2351
27073,LAC QUI PARLE,6102
27075,LAKE,69
27077,LAKE OF THE WOODS,854
27079,LE SUEUR,4120
27081,LINCOLN,7097
27083,LYON,7715
27085,MCLEOD,9210
27087,MAHNOMEN,2528
27089,MARSHALL,5741
27091,MARTIN,2123
27093,MEEKER,10694
27095,MILLE LACS,5575
27097,MORRISON,43243
27099,MOWER,6405
27101,MURRAY,8817
27103,NICOLLET,12676
27105,NOBLES,11663
27107,NORMAN,1765
27109,OLMSTED,18694
27111,OTTER TAIL,32420
27113,PENNINGTON,4451
27115,PINE,10842
27117,PIPESTONE,16091
27119,POLK,7362
27121,POPE,9569
27125,RED LAKE,3190
27127,REDWOOD,5881
27129,RENVILLE,4431
27131,RICE,8861
27133,ROCK,9441
27135,ROSEAU,8504
27137,ST. LOUIS,5755
27139,SCOTT,5084
27141,SHERBURNE,1529
27143,SIBLEY,10797
27145,STEARNS,77867
27147,STEELE,5661
27149,STEVENS,28367
27151,SWIFT,15545
27153,TODD,25800
27157,WABASHA,25695
27159,WADENA,6813
27161,WASECA,2698
27163,WASHINGTON,2774
27165,WATONWAN,1315
27167,WILKIN,1527
27169,WINONA,32575
27171,WRIGHT,9251
27173,YELLOW MEDICINE,4936
