FIPS,COUNTY_NAME,VALUE
27001,AITKIN,8615
27003,ANOKA,1031
27005,BECKER,26645
27007,BELTRAMI,16451
27009,BENTON,33372
27011,BIG STONE,13273
27013,BLUE EARTH,12160
27015,BROWN,42072
27017,CARLTON,9957
27019,CARVER,22107
27021,CASS,20897
27023,CHIPPEWA,22613
27025,CHISAGO,10016
27027,CLAY,9974
27029,CLEARWATER,16450
27031,COOK,29
27033,COTTONWOOD,32153
27035,CROW WING,7353
27037,DAKOTA,22749
27039,DODGE,16238
27041,DOUGLAS,19943
27043,FARIBAULT,13657
27045,FILLMORE,59346
27047,FREEBORN,18170
27049,GOODHUE,70463
27051,GRANT,14559
27053,HENNEPIN,5431
27055,HOUSTON,43648
27057,HUBBARD,6841
27059,ISANTI,7650
27061,ITASCA,4558
27063,JACKSON,16055
27065,KANABEC,11724
27067,KANDIYOHI,46849
27069,KITTSON,10911
27071,KOOCHICHING,3939
27073,LAC QUI PARLE,15540
27075,LAKE,129
27079,LE SUEUR,13173
27081,LINCOLN,22401
27083,LYON,57633
27085,MCLEOD,26379
27087,MAHNOMEN,5460
27089,MARSHALL,10636
27091,MARTIN,21069
27093,MEEKER,30487
27095,MILLE LACS,17357
27097,MORRISON,87791
27099,MOWER,29733
27101,MURRAY,53129
27103,NICOLLET,26541
27105,NOBLES,92426
27107,NORMAN,3707
27109,OLMSTED,44266
27111,OTTER TAIL,78216
27113,PENNINGTON,8656
27115,PINE,21016
27117,PIPESTONE,59712
27119,POLK,13730
27121,POPE,27195
27125,RED LAKE,6448
27127,REDWOOD,46505
27129,RENVILLE,25596
27131,RICE,20496
27133,ROCK,93683
27135,ROSEAU,16046
27137,ST. LOUIS,10408
27139,SCOTT,15279
27141,SHERBURNE,8972
27143,SIBLEY,34346
27145,STEARNS,198361
27147,STEELE,13069
27149,STEVENS,58256
27151,SWIFT,31353
27153,TODD,55660
27155,TRAVERSE,13432
27157,WABASHA,56163
27159,WADENA,12818
27161,WASECA,12802
27163,WASHINGTON,5466
27165,WATONWAN,3654
27167,WILKIN,2763
27169,WINONA,70460
27171,WRIGHT,31648
27173,YELLOW MEDICINE,27915
