FIPS,COUNTY_NAME,VALUE
27001,AITKIN,125
27003,ANOKA,276
27005,BECKER,1969
27007,BELTRAMI,336
27009,BENTON,3395
27011,BIG STONE,1065
27013,BLUE EARTH,5959
27015,BROWN,22794
27017,CARLTON,187
27019,CARVER,4157
27021,CASS,512
27023,CHIPPEWA,5556
27025,CHISAGO,538
27027,CLAY,997
27033,COTTONWOOD,22367
27037,DAKOTA,10968
27039,DODGE,5551
27041,DOUGLAS,5611
27043,FARIBAULT,7530
27045,FILLMORE,8237
27047,FREEBORN,6875
27049,GOODHUE,17293
27051,GRANT,1478
27053,HENNEPIN,310
27055,HOUSTON,4539
27059,ISANTI,733
27061,ITASCA,70
27063,JACKSON,6540
27065,KANABEC,804
27067,KANDIYOHI,6374
27073,LAC QUI PARLE,3072
27079,LE SUEUR,6006
27081,LINCOLN,9949
27083,LYON,33003
27085,MCLEOD,4814
27087,MAHNOMEN,279
27089,MARSHALL,341
27091,MARTIN,11072
27093,MEEKER,7743
27095,MILLE LACS,2336
27097,MORRISON,9407
27099,MOWER,12776
27101,MURRAY,22026
27103,NICOLLET,4316
27105,NOBLES,44897
27107,NORMAN,147
27109,OLMSTED,7929
27111,OTTER TAIL,4257
27113,PENNINGTON,204
27115,PINE,670
27117,PIPESTONE,22403
27121,POPE,7683
27127,REDWOOD,27009
27129,RENVILLE,15477
27131,RICE,2242
27133,ROCK,49782
27135,ROSEAU,509
27139,SCOTT,4151
27141,SHERBURNE,4173
27143,SIBLEY,12828
27145,STEARNS,37416
27147,STEELE,1306
27149,STEVENS,14585
27151,SWIFT,4190
27153,TODD,5236
27155,TRAVERSE,3426
27157,WABASHA,5950
27159,WADENA,186
27161,WASECA,6511
27163,WASHINGTON,533
27169,WINONA,8848
27171,WRIGHT,7167
27173,YELLOW MEDICINE,13517
