FIPS,COUNTY_NAME,VALUE
27001,AITKIN,1405
27003,ANOKA,60
27005,BECKER,681
27007,BELTRAMI,1931
27009,BENTON,2676887
27013,BLUE EARTH,553
27015,BROWN,118
27017,CARLTON,1392
27019,CARVER,525
27021,CASS,630
27023,CHIPPEWA,155
27025,CHISAGO,1959
27027,CLAY,5820
27029,CLEARWATER,860
27033,COTTONWOOD,148229
27035,CROW WING,134787
27037,DAKOTA,522
27039,DODGE,272
27041,DOUGLAS,225
27043,FARIBAULT,930
27045,FILLMORE,1553
27047,FREEBORN,470
27049,GOODHUE,1837
27053,HENNEPIN,320
27055,HOUSTON,313
27057,HUBBARD,973
27059,ISANTI,175
27061,ITASCA,207
27063,JACKSON,330
27065,KANABEC,466
27067,KANDIYOHI,408
27071,KOOCHICHING,660
27073,LAC QUI PARLE,1382
27077,LAKE OF THE WOODS,85
27079,LE SUEUR,290
27083,LYON,325
27085,MCLEOD,456
27089,MARSHALL,333
27091,MARTIN,488
27093,MEEKER,621
27095,MILLE LACS,97176
27097,MORRISON,4838537
27099,MOWER,352
27101,MURRAY,560
27105,NOBLES,783
27109,OLMSTED,42
27111,OTTER TAIL,1927
27115,PINE,472
27119,POLK,1109
27127,REDWOOD,1788
27129,RENVILLE,1272
27131,RICE,1501
27135,ROSEAU,560
27137,ST. LOUIS,4884
27139,SCOTT,620
27141,SHERBURNE,113085
27143,SIBLEY,1038
27145,STEARNS,2892957
27147,STEELE,86
27151,SWIFT,478
27153,TODD,5078
27157,WABASHA,424
27159,WADENA,1437
27163,WASHINGTON,1520
27169,WINONA,1052
