FIPS,COUNTY_NAME,VALUE
27001,AITKIN,2375
27003,ANOKA,1172
27005,BECKER,1958
27007,BELTRAMI,3672
27009,BENTON,1431
27011,BIG STONE,388
27013,BLUE EARTH,541472
27015,BROWN,1372
27017,CARLTON,4912
27019,CARVER,1248
27021,CASS,1455
27023,CHIPPEWA,532
27025,CHISAGO,4202
27027,CLAY,767536
27031,COOK,183
27033,COTTONWOOD,605
27035,CROW WING,1129
27037,DAKOTA,2645
27039,DODGE,3341
27041,DOUGLAS,1418
27043,FARIBAULT,531
27045,FILLMORE,8312
27047,FREEBORN,1374
27049,GOODHUE,4368
27051,GRANT,375
27053,HENNEPIN,1018
27055,HOUSTON,1155
27057,HUBBARD,1589
27059,ISANTI,2303
27061,ITASCA,2377
27065,KANABEC,13862
27067,KANDIYOHI,1275
27069,KITTSON,150
27071,KOOCHICHING,482
27073,LAC QUI PARLE,323
27075,LAKE,885
27077,LAKE OF THE WOODS,310
27079,LE SUEUR,3762
27081,LINCOLN,312
27085,MCLEOD,2899
27087,MAHNOMEN,453
27089,MARSHALL,831
27091,MARTIN,621
27095,MILLE LACS,2874
27097,MORRISON,240598
27099,MOWER,2294
27101,MURRAY,962
27105,NOBLES,835
27107,NORMAN,477
27109,OLMSTED,2185
27111,OTTER TAIL,3960
27113,PENNINGTON,382
27117,PIPESTONE,1264
27119,POLK,2178
27121,POPE,802
27123,RAMSEY,9
27125,RED LAKE,126
27127,REDWOOD,4107
27131,RICE,4558
27133,ROCK,707
27135,ROSEAU,620
27137,ST. LOUIS,4777
27139,SCOTT,5639
27145,STEARNS,1033055
27147,STEELE,986
27149,STEVENS,567
27151,SWIFT,633
27153,TODD,6018
27155,TRAVERSE,176
27157,WABASHA,1630
27159,WADENA,2562
27161,WASECA,782
27163,WASHINGTON,2064
27165,WATONWAN,244
27167,WILKIN,498
27169,WINONA,6274
27173,YELLOW MEDICINE,659
