FIPS,COUNTY_NAME,VALUE
27001,AITKIN,12
27003,ANOKA,30
27005,BECKER,28
27007,BELTRAMI,18
27009,BENTON,5
27013,BLUE EARTH,15
27015,BROWN,6
27021,CASS,35
27023,CHIPPEWA,13
27025,CHISAGO,50
27027,CLAY,29
27037,DAKOTA,25
27039,DODGE,25
27041,DOUGLAS,21
27045,FILLMORE,152
27047,FREEBORN,15
27049,GOODHUE,78
27055,HOUSTON,79
27057,HUBBARD,14
27059,ISANTI,58
27065,KANABEC,32
27067,KANDIYOHI,23
27075,LAKE,17
27079,LE SUEUR,56
27085,MCLEOD,54
27089,MARSHALL,8
27097,MORRISON,12314
27099,MOWER,5
27109,OLMSTED,73
27111,OTTER TAIL,132
27115,PINE,54
27119,POLK,14
27131,RICE,136
27133,ROCK,8
27137,ST. LOUIS,56
27139,SCOTT,366
27141,SHERBURNE,18
27145,STEARNS,23774
27153,TODD,40
27157,WABASHA,12
27159,WADENA,17
27163,WASHINGTON,42
27171,WRIGHT,95
