FIPS,COUNTY_NAME,VALUE
27001,AITKIN,104
27003,ANOKA,146
27005,BECKER,31
27007,BELTRAMI,419
27009,BENTON,87
27013,BLUE EARTH,124
27015,BROWN,45
27021,CASS,77
27023,CHIPPEWA,18
27025,CHISAGO,38
27027,CLAY,60
27029,CLEARWATER,37
27037,DAKOTA,128
27039,DODGE,283
27043,FARIBAULT,151
27045,FILLMORE,199
27047,FREEBORN,91
27049,GOODHUE,99
27055,HOUSTON,98
27057,HUBBARD,31
27059,ISANTI,340
27061,ITASCA,27
27063,JACKSON,278
27065,KANABEC,226
27067,KANDIYOHI,59
27073,LAC QUI PARLE,72
27075,LAKE,9
27077,LAKE OF THE WOODS,36
27081,LINCOLN,101
27085,MCLEOD,244
27095,MILLE LACS,304
27097,MORRISON,230
27099,MOWER,154
27101,MURRAY,18
27109,OLMSTED,275
27111,OTTER TAIL,1627
27115,PINE,270
27117,PIPESTONE,18
27119,POLK,36
27127,REDWOOD,99
27131,RICE,602
27133,ROCK,38
27137,ST. LOUIS,95
27139,SCOTT,532
27141,SHERBURNE,187
27143,SIBLEY,78
27145,STEARNS,623
27147,STEELE,170
27149,STEVENS,48
27151,SWIFT,123
27153,TODD,462
27157,WABASHA,118
27159,WADENA,122
27161,WASECA,131
27163,WASHINGTON,32
27165,WATONWAN,36
27169,WINONA,39
27171,WRIGHT,228
